"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad",Grupo Lift Off,Grupo Lift Off Diff,Grupo MoveTime
1,1,401,3,1,0,1,0,1,371,1906,1439,26,"You bought Christine ice cream",467,0,Grupo A,Grupo A,Grupo A
2,0,401,3,2,1,0,0,1,281,2224,1874,13,"Sara transmitted the orders to you",350,0,Grupo A,Grupo A,Grupo A
3,0,401,3,3,1,1,0,1,267,1853,1639,33,"You dedicated the song to John",214,1,Grupo A,Grupo A,Grupo A
12,0,401,3,12,1,0,0,1,225,2528,1304,18,"Amanda paid you tribute",1224,0,Grupo A,Grupo A,Grupo A
14,0,401,3,14,1,1,0,1,214,1740,1647,32,"You devoted your time to Tiana",93,1,Grupo A,Grupo A,Grupo A
16,0,401,3,16,0,1,0,1,331,2008,1511,28,"You handed Courtney the notebook",497,0,Grupo A,Grupo A,Grupo A
17,0,401,3,17,0,0,0,1,291,1964,1693,4,"Jeff entrusted the key to you",271,1,Grupo A,Grupo A,Grupo A
20,0,401,3,20,0,0,0,1,396,1504,1684,2,"Vincent donated money to you",-180,1,Grupo A,Grupo A,Grupo A
24,0,401,3,24,0,0,0,1,281,1876,1579,5,"Katie handed the puppy to you",297,1,Grupo A,Grupo A,Grupo A
26,0,401,3,26,0,1,0,1,273,1569,1321,24,"You drove the car to Amber",248,0,Grupo A,Grupo A,Grupo A
28,0,401,3,28,0,1,0,1,315,1817,1293,29,"You hit Paul the baseball",524,0,Grupo A,Grupo A,Grupo A
30,0,401,3,30,1,1,0,1,210,1636,1579,37,"You offered Chris some writing tips",57,1,Grupo A,Grupo A,Grupo A
32,0,401,3,32,1,1,0,1,170,1511,1635,35,"You gave Jesse another chance",-124,1,Grupo A,Grupo A,Grupo A
34,0,401,3,34,0,0,0,1,280,1640,1623,8,"Shawn shot you the rubber band",17,1,Grupo A,Grupo A,Grupo A
38,0,401,3,38,0,0,0,1,287,1483,1347,9,"Mike rolled you the marble",136,1,Grupo A,Grupo A,Grupo A
39,0,401,3,39,1,1,0,1,269,1632,1126,39,"You taught him a lesson",506,1,Grupo A,Grupo A,Grupo A
40,0,401,3,40,1,1,0,1,252,1655,1307,38,"You blew your sister a kiss",348,1,Grupo A,Grupo A,Grupo A
43,0,401,3,43,1,1,0,1,277,1407,1507,40,"You pitched Andy the idea",-100,1,Grupo A,Grupo A,Grupo A
48,0,401,3,48,1,0,0,1,287,1492,1277,19,"Liz told you the story",215,0,Grupo A,Grupo A,Grupo A
53,0,401,3,53,0,0,0,1,445,1620,1473,10,"Your dad poured you some water",147,1,Grupo A,Grupo A,Grupo A
54,0,401,3,54,0,1,0,1,303,1765,1485,22,"You awarded a medal to Helen",280,0,Grupo A,Grupo A,Grupo A
55,0,401,3,55,0,1,0,1,322,1776,1681,21,"You delivered the Pizza to Andy",95,0,Grupo A,Grupo A,Grupo A
58,0,401,3,58,1,0,0,1,332,1642,1371,20,"Your family sent you regards",271,0,Grupo A,Grupo A,Grupo A
60,0,401,3,60,1,0,0,1,620,2128,2138,15,"Anna transferred responsibility to you",-10,0,Grupo A,Grupo A,Grupo A
65,0,401,3,65,1,1,0,1,325,2175,1837,31,"You bestowed the honor upon Art",338,1,Grupo A,Grupo A,Grupo A
66,0,401,3,66,1,0,0,1,283,1906,1724,17,"You received the complaint from Ian",182,0,Grupo A,Grupo A,Grupo A
71,0,401,3,71,0,0,0,1,341,1638,1523,7,"Joe kicked you the soccer ball",115,1,Grupo A,Grupo A,Grupo A
73,0,401,3,73,1,0,0,1,299,2211,2184,14,"The policeman radioed the message to you",27,0,Grupo A,Grupo A,Grupo A
74,0,401,3,74,1,1,0,1,241,1860,1390,34,"You sang Jenni a song",470,1,Grupo A,Grupo A,Grupo A
77,0,401,3,77,1,0,0,1,227,1793,1647,16,"Dan confessed his secret to you",146,0,Grupo A,Grupo A,Grupo A
78,0,401,3,78,1,0,0,1,237,2290,1501,12,"Mike sold the land to you",789,0,Grupo A,Grupo A,Grupo A
82,0,402,2,2,0,1,0,1,513,2161,1600,36,"You confessed your secret to Dan",561,0,Grupo A,Grupo A,Grupo B
84,0,402,2,4,1,1,0,1,637,1928,1422,23,"You dealt the cards to Mark",506,1,Grupo A,Grupo A,Grupo B
87,0,402,2,7,1,0,0,1,635,1952,1489,3,"Jack kicked the football to you",463,0,Grupo A,Grupo A,Grupo B
88,0,402,2,8,0,1,0,1,584,1989,1270,38,"You paid Amanda tribute",719,0,Grupo A,Grupo A,Grupo B
89,0,402,2,9,1,0,0,1,445,1706,1396,6,"Christine bought you ice cream",310,0,Grupo A,Grupo A,Grupo B
92,0,402,2,12,0,0,0,1,576,1902,1390,18,"Your sister blew you a kiss",512,1,Grupo A,Grupo A,Grupo B
