count,ptid,MoveTime,Compatibilidad,Grupo MoveTime
1,401,371,0,Grupo A
2,401,281,0,Grupo A
3,401,267,1,Grupo A
12,401,225,0,Grupo A
14,401,214,1,Grupo A
16,401,331,0,Grupo A
17,401,291,1,Grupo A
20,401,396,1,Grupo A
24,401,281,1,Grupo A
26,401,273,0,Grupo A
28,401,315,0,Grupo A
30,401,210,1,Grupo A
32,401,170,1,Grupo A
34,401,280,1,Grupo A
38,401,287,1,Grupo A
39,401,269,1,Grupo A
40,401,252,1,Grupo A
43,401,277,1,Grupo A
48,401,287,0,Grupo A
53,401,445,1,Grupo A
54,401,303,0,Grupo A
55,401,322,0,Grupo A
58,401,332,0,Grupo A
60,401,620,0,Grupo A
65,401,325,1,Grupo A
66,401,283,0,Grupo A
71,401,341,1,Grupo A
73,401,299,0,Grupo A
74,401,241,1,Grupo A
77,401,227,0,Grupo A
78,401,237,0,Grupo A
82,402,513,0,Grupo B
84,402,637,1,Grupo B
87,402,635,0,Grupo B
88,402,584,0,Grupo B
89,402,445,0,Grupo B
92,402,576,1,Grupo B
95,402,643,0,Grupo B
99,402,491,0,Grupo B
100,402,435,1,Grupo B
103,402,497,0,Grupo B
104,402,334,1,Grupo B
105,402,375,0,Grupo B
109,402,484,0,Grupo B
110,402,940,0,Grupo B
117,402,487,1,Grupo B
119,402,478,1,Grupo B
120,402,411,0,Grupo B
121,402,615,1,Grupo B
122,402,430,1,Grupo B
123,402,370,0,Grupo B
132,402,202,1,Grupo B
133,402,439,0,Grupo B
135,402,452,1,Grupo B
138,402,620,1,Grupo B
139,402,621,0,Grupo B
141,402,554,1,Grupo B
142,402,395,1,Grupo B
143,402,425,0,Grupo B
145,402,399,1,Grupo B
147,402,369,0,Grupo B
149,402,299,0,Grupo B
152,402,365,0,Grupo B
153,402,349,1,Grupo B
158,402,469,1,Grupo B
159,402,446,1,Grupo B
161,403,269,0,Grupo B
162,403,245,0,Grupo B
165,403,293,0,Grupo B
166,403,285,0,Grupo B
170,403,247,0,Grupo B
172,403,278,1,Grupo B
173,403,448,0,Grupo B
175,403,410,1,Grupo B
178,403,416,0,Grupo B
181,403,451,1,Grupo B
183,403,1133,0,Grupo B
184,403,395,1,Grupo B
187,403,293,0,Grupo B
189,403,383,0,Grupo B
193,403,524,0,Grupo B
194,403,336,1,Grupo B
200,403,476,1,Grupo B
202,403,637,1,Grupo B
204,403,486,1,Grupo B
206,403,386,1,Grupo B
209,403,435,1,Grupo B
211,403,328,0,Grupo B
212,403,240,1,Grupo B
221,403,384,1,Grupo B
224,403,351,0,Grupo B
227,403,449,1,Grupo B
230,403,394,1,Grupo B
