"","count","ptid","CueDirection","SentenceDirection","MoveTime","LiftOffLatency","ItemNumber","liftOffDiff","Grupo.Lift.Off","Grupo.Move.Time","Grupo.Lift.Off.Diff","SentDur","Compatibilidad"
"1",1,401,0,1,371,1906,26,467,"Lento","Lento","Lento",1439,0
"2",2,401,1,0,281,2224,13,350,"Lento","Lento","Lento",1874,0
"3",3,401,1,1,267,1853,33,214,"Lento","Lento","Lento",1639,1
"4",12,401,1,0,225,2528,18,1224,"Lento","Lento","Lento",1304,0
"5",14,401,1,1,214,1740,32,93,"Lento","Lento","Lento",1647,1
"6",16,401,0,1,331,2008,28,497,"Lento","Lento","Lento",1511,0
"7",17,401,0,0,291,1964,4,271,"Lento","Lento","Lento",1693,1
"8",20,401,0,0,396,1504,2,-180,"Lento","Lento","Lento",1684,1
"9",24,401,0,0,281,1876,5,297,"Lento","Lento","Lento",1579,1
"10",26,401,0,1,273,1569,24,248,"Lento","Lento","Lento",1321,0
"11",28,401,0,1,315,1817,29,524,"Lento","Lento","Lento",1293,0
"12",30,401,1,1,210,1636,37,57,"Lento","Lento","Lento",1579,1
"13",32,401,1,1,170,1511,35,-124,"Lento","Lento","Lento",1635,1
"14",34,401,0,0,280,1640,8,17,"Lento","Lento","Lento",1623,1
"15",38,401,0,0,287,1483,9,136,"Lento","Lento","Lento",1347,1
"16",39,401,1,1,269,1632,39,506,"Lento","Lento","Lento",1126,1
"17",40,401,1,1,252,1655,38,348,"Lento","Lento","Lento",1307,1
"18",43,401,1,1,277,1407,40,-100,"Lento","Lento","Lento",1507,1
"19",48,401,1,0,287,1492,19,215,"Lento","Lento","Lento",1277,0
"20",53,401,0,0,445,1620,10,147,"Lento","Lento","Lento",1473,1
"21",54,401,0,1,303,1765,22,280,"Lento","Lento","Lento",1485,0
"22",55,401,0,1,322,1776,21,95,"Lento","Lento","Lento",1681,0
"23",58,401,1,0,332,1642,20,271,"Lento","Lento","Lento",1371,0
"24",60,401,1,0,620,2128,15,-10,"Lento","Lento","Lento",2138,0
"25",65,401,1,1,325,2175,31,338,"Lento","Lento","Lento",1837,1
"26",66,401,1,0,283,1906,17,182,"Lento","Lento","Lento",1724,0
"27",71,401,0,0,341,1638,7,115,"Lento","Lento","Lento",1523,1
"28",73,401,1,0,299,2211,14,27,"Lento","Lento","Lento",2184,0
"29",74,401,1,1,241,1860,34,470,"Lento","Lento","Lento",1390,1
"30",77,401,1,0,227,1793,16,146,"Lento","Lento","Lento",1647,0
"31",78,401,1,0,237,2290,12,789,"Lento","Lento","Lento",1501,0
"32",82,402,0,1,513,2161,36,561,"Lento","Rapido","Lento",1600,0
"33",84,402,1,1,637,1928,23,506,"Lento","Rapido","Lento",1422,1
"34",87,402,1,0,635,1952,3,463,"Lento","Rapido","Lento",1489,0
"35",88,402,0,1,584,1989,38,719,"Lento","Rapido","Lento",1270,0
"36",89,402,1,0,445,1706,6,310,"Lento","Rapido","Lento",1396,0
"37",92,402,0,0,576,1902,18,512,"Lento","Rapido","Lento",1390,1
"38",95,402,0,1,643,2064,33,208,"Lento","Rapido","Lento",1856,0
"39",99,402,0,1,491,1648,31,466,"Lento","Rapido","Lento",1182,0
"40",100,402,1,1,435,1691,30,264,"Lento","Rapido","Lento",1427,1
"41",103,402,1,0,497,3150,5,1275,"Lento","Rapido","Lento",1875,0
"42",104,402,1,1,334,2079,25,512,"Lento","Rapido","Lento",1567,1
"43",105,402,1,0,375,2393,7,467,"Lento","Rapido","Lento",1926,0
"44",109,402,0,1,484,1786,39,476,"Lento","Rapido","Lento",1310,0
"45",110,402,1,0,940,2155,9,833,"Lento","Rapido","Lento",1322,0
"46",117,402,0,0,487,2063,17,555,"Lento","Rapido","Lento",1508,1
"47",119,402,1,1,478,1948,24,314,"Lento","Rapido","Lento",1634,1
"48",120,402,1,0,411,1660,1,157,"Lento","Rapido","Lento",1503,0
"49",121,402,1,1,615,2603,27,958,"Lento","Rapido","Lento",1645,1
"50",122,402,0,0,430,1975,12,229,"Lento","Rapido","Lento",1746,1
"51",123,402,0,1,370,2352,37,628,"Lento","Rapido","Lento",1724,0
"52",132,402,0,0,202,2625,15,927,"Lento","Rapido","Lento",1698,1
"53",133,402,1,0,439,2841,10,1137,"Lento","Rapido","Lento",1704,0
"54",135,402,0,0,452,2450,11,645,"Lento","Rapido","Lento",1805,1
"55",138,402,0,0,620,1528,14,159,"Lento","Rapido","Lento",1369,1
"56",139,402,0,1,621,1631,32,260,"Lento","Rapido","Lento",1371,0
"57",141,402,1,1,554,2765,28,1145,"Lento","Rapido","Lento",1620,1
"58",142,402,1,1,395,1746,22,109,"Lento","Rapido","Lento",1637,1
"59",143,402,1,0,425,1709,4,276,"Lento","Rapido","Lento",1433,0
"60",145,402,0,0,399,1456,19,434,"Lento","Rapido","Lento",1022,1
"61",147,402,1,0,369,1748,8,189,"Lento","Rapido","Lento",1559,0
"62",149,402,1,0,299,1743,2,209,"Lento","Rapido","Lento",1534,0
"63",152,402,0,1,365,2175,34,110,"Lento","Rapido","Lento",2065,0
"64",153,402,0,0,349,1997,20,525,"Lento","Rapido","Lento",1472,1
"65",158,402,1,1,469,2112,26,926,"Lento","Rapido","Lento",1186,1
"66",159,402,0,0,446,1858,13,162,"Lento","Rapido","Lento",1696,1
"67",161,403,0,1,269,1824,35,189,"Medio","Rapido","Medio",1635,0
"68",162,403,1,0,245,1676,3,216,"Medio","Rapido","Medio",1460,0
"69",165,403,0,1,293,2020,37,441,"Medio","Rapido","Medio",1579,0
"70",166,403,0,1,285,2228,32,581,"Medio","Rapido","Medio",1647,0
"71",170,403,0,1,247,2588,31,751,"Medio","Rapido","Medio",1837,0
"72",172,403,0,0,278,3209,17,1485,"Medio","Rapido","Medio",1724,1
"73",173,403,1,0,448,1987,7,464,"Medio","Rapido","Medio",1523,0
"74",175,403,1,1,410,2197,29,904,"Medio","Rapido","Medio",1293,1
"75",178,403,1,0,416,3980,5,2401,"Medio","Rapido","Medio",1579,0
"76",181,403,1,1,451,2049,26,610,"Medio","Rapido","Medio",1439,1
"78",184,403,1,1,395,2002,24,681,"Medio","Rapido","Medio",1321,1
"79",187,403,0,1,293,2857,40,1350,"Medio","Rapido","Medio",1507,0
"80",189,403,0,1,383,1992,33,353,"Medio","Rapido","Medio",1639,0
"81",193,403,1,0,524,1990,6,757,"Medio","Rapido","Medio",1233,0
"82",194,403,0,0,336,2158,13,284,"Medio","Rapido","Medio",1874,1
"83",200,403,1,1,476,2042,23,559,"Medio","Rapido","Medio",1483,1
"84",202,403,0,0,637,2314,18,1010,"Medio","Rapido","Medio",1304,1
"85",204,403,1,1,486,1925,21,244,"Medio","Rapido","Medio",1681,1
"86",206,403,0,0,386,1860,20,489,"Medio","Rapido","Medio",1371,1
"87",209,403,0,0,435,1534,11,532,"Medio","Rapido","Medio",1002,1
"88",211,403,0,1,328,1913,39,787,"Medio","Rapido","Medio",1126,0
"89",212,403,1,1,240,1715,22,230,"Medio","Rapido","Medio",1485,1
"90",221,403,0,0,384,2852,14,668,"Medio","Rapido","Medio",2184,1
"91",224,403,1,0,351,2342,9,995,"Medio","Rapido","Medio",1347,0
"92",227,403,0,0,449,2155,12,654,"Medio","Rapido","Medio",1501,1
"93",230,403,0,0,394,2190,15,52,"Medio","Rapido","Medio",2138,1
"95",235,403,1,0,328,1990,4,297,"Medio","Rapido","Medio",1693,0
"96",237,403,0,0,303,1655,19,378,"Medio","Rapido","Medio",1277,1
"97",238,403,0,0,391,1872,16,225,"Medio","Rapido","Medio",1647,1
"98",241,404,1,1,56,1748,40,341,"Lento","Lento","Lento",1407,1
"99",248,404,0,0,103,1956,10,252,"Lento","Lento","Lento",1704,1
"100",249,404,1,0,19,1988,16,255,"Lento","Lento","Lento",1733,0
"101",250,404,1,1,7,2279,35,245,"Lento","Lento","Lento",2034,1
"102",251,404,0,0,2,1782,8,223,"Lento","Lento","Lento",1559,1
"103",260,404,0,0,17,1907,1,404,"Lento","Lento","Lento",1503,1
"104",261,404,0,0,20,2208,5,333,"Lento","Lento","Lento",1875,1
"105",262,404,1,0,83,1621,19,599,"Lento","Lento","Lento",1022,0
"106",263,404,1,0,121,1743,15,45,"Lento","Lento","Lento",1698,0
"107",264,404,0,0,146,1745,6,349,"Lento","Lento","Lento",1396,1
"108",265,404,0,1,57,2007,29,643,"Lento","Lento","Lento",1364,0
"109",266,404,0,1,105,2055,24,421,"Lento","Lento","Lento",1634,0
"110",267,404,0,1,124,2075,27,430,"Lento","Lento","Lento",1645,0
"111",271,404,0,1,38,2206,22,569,"Lento","Lento","Lento",1637,0
"112",273,404,1,1,146,1677,38,407,"Lento","Lento","Lento",1270,1
"113",275,404,1,0,282,2284,12,538,"Lento","Lento","Lento",1746,0
"114",276,404,1,1,175,2047,37,323,"Lento","Lento","Lento",1724,1
"115",279,404,0,0,164,2595,3,1106,"Lento","Lento","Lento",1489,1
"116",282,404,0,1,82,1855,30,428,"Lento","Lento","Lento",1427,0
"117",284,404,1,0,167,2824,20,1352,"Lento","Lento","Lento",1472,0
"118",285,404,0,1,62,2554,28,934,"Lento","Lento","Lento",1620,0
"119",286,404,1,1,113,2375,34,310,"Lento","Lento","Lento",2065,1
"120",287,404,1,0,150,1872,14,503,"Lento","Lento","Lento",1369,0
"121",290,404,1,1,35,2236,32,865,"Lento","Lento","Lento",1371,1
"122",292,404,1,1,113,1641,39,331,"Lento","Lento","Lento",1310,1
"123",294,404,0,1,77,2135,25,568,"Lento","Lento","Lento",1567,0
"124",295,404,1,1,431,2222,33,366,"Lento","Lento","Lento",1856,1
"125",297,404,1,0,131,2317,17,809,"Lento","Lento","Lento",1508,0
"126",303,404,1,0,31,2136,13,440,"Lento","Lento","Lento",1696,0
"127",307,404,0,0,64,2596,7,670,"Lento","Lento","Lento",1926,1
"128",316,404,1,1,143,1981,36,381,"Lento","Lento","Lento",1600,1
"129",323,405,0,1,195,1780,22,295,"Rapido","Lento","Rapido",1485,0
"130",327,405,0,0,132,1926,3,466,"Rapido","Lento","Rapido",1460,1
"131",331,405,1,1,230,2714,35,1079,"Rapido","Lento","Rapido",1635,1
"132",334,405,0,1,62,1895,24,574,"Rapido","Lento","Rapido",1321,0
"133",336,405,1,1,224,1888,33,249,"Rapido","Lento","Rapido",1639,1
"134",339,405,1,1,278,1987,32,340,"Rapido","Lento","Rapido",1647,1
"135",344,405,0,0,199,1884,2,200,"Rapido","Lento","Rapido",1684,1
"136",347,405,0,0,185,1909,10,436,"Rapido","Lento","Rapido",1473,1
"137",348,405,0,1,224,2337,28,826,"Rapido","Lento","Rapido",1511,0
"138",349,405,1,0,265,2045,20,674,"Rapido","Lento","Rapido",1371,0
"139",352,405,1,1,338,1966,34,576,"Rapido","Lento","Rapido",1390,1
"140",353,405,1,0,356,2041,17,317,"Rapido","Lento","Rapido",1724,0
"141",354,405,0,0,136,2679,5,1100,"Rapido","Lento","Rapido",1579,1
"142",356,405,1,1,261,2264,38,957,"Rapido","Lento","Rapido",1307,1
"143",359,405,0,0,206,2186,8,563,"Rapido","Lento","Rapido",1623,1
"144",361,405,1,0,634,2617,13,743,"Rapido","Lento","Rapido",1874,0
"145",362,405,0,1,228,2414,25,668,"Rapido","Lento","Rapido",1746,0
"146",365,405,0,1,139,3765,21,2084,"Rapido","Lento","Rapido",1681,0
"147",369,405,1,1,337,3415,37,1836,"Rapido","Lento","Rapido",1579,1
"148",370,405,0,0,237,3419,7,1896,"Rapido","Lento","Rapido",1523,1
"149",376,405,1,0,247,2998,15,860,"Rapido","Lento","Rapido",2138,0
"150",381,405,1,0,757,2279,16,632,"Rapido","Lento","Rapido",1647,0
"151",383,405,0,0,394,2450,9,1103,"Rapido","Lento","Rapido",1347,1
"152",386,405,0,1,240,2306,30,562,"Rapido","Lento","Rapido",1744,0
"153",388,405,1,1,294,3105,39,1979,"Rapido","Lento","Rapido",1126,1
"154",393,405,0,0,141,2010,1,364,"Rapido","Lento","Rapido",1646,1
"155",394,405,0,0,337,2420,4,727,"Rapido","Lento","Rapido",1693,1
"156",396,405,0,0,270,1903,6,670,"Rapido","Lento","Rapido",1233,1
"157",398,405,1,0,296,1588,19,311,"Rapido","Lento","Rapido",1277,0
"158",401,406,0,1,877,2749,34,1359,"Medio","Rapido","Medio",1390,0
"159",402,406,0,1,442,2156,35,521,"Medio","Rapido","Medio",1635,0
"160",403,406,0,0,517,1989,17,265,"Medio","Rapido","Medio",1724,1
"161",406,406,1,0,551,1872,5,293,"Medio","Rapido","Medio",1579,0
"162",407,406,1,1,723,3829,25,2083,"Medio","Rapido","Medio",1746,1
"163",410,406,1,0,484,2783,1,1137,"Medio","Rapido","Medio",1646,0
"164",411,406,0,0,577,2543,14,359,"Medio","Rapido","Medio",2184,1
"165",416,406,1,1,257,2590,26,1151,"Medio","Rapido","Medio",1439,1
"166",417,406,1,1,282,2841,27,732,"Medio","Rapido","Medio",2109,1
"167",420,406,0,1,334,2386,33,747,"Medio","Rapido","Medio",1639,0
"168",422,406,0,0,246,2002,19,725,"Medio","Rapido","Medio",1277,1
"169",423,406,0,0,524,1511,18,207,"Medio","Rapido","Medio",1304,1
"170",425,406,1,1,517,1851,22,366,"Medio","Rapido","Medio",1485,1
"171",427,406,0,0,520,2728,13,854,"Medio","Rapido","Medio",1874,1
"172",428,406,0,1,840,2524,32,877,"Medio","Rapido","Medio",1647,0
"173",435,406,0,1,602,1642,39,516,"Medio","Rapido","Medio",1126,0
"174",436,406,0,0,432,2571,15,433,"Medio","Rapido","Medio",2138,1
"175",437,406,0,0,440,2011,16,364,"Medio","Rapido","Medio",1647,1
"176",438,406,1,0,805,2645,8,1022,"Medio","Rapido","Medio",1623,0
"178",445,406,1,0,603,2970,2,1286,"Medio","Rapido","Medio",1684,0
"180",450,406,0,0,484,1646,12,145,"Medio","Rapido","Medio",1501,1
"181",451,406,1,1,379,2166,23,683,"Medio","Rapido","Medio",1483,1
"182",454,406,1,1,478,2089,21,408,"Medio","Rapido","Medio",1681,1
"183",456,406,0,1,537,2423,40,916,"Medio","Rapido","Medio",1507,0
"184",457,406,1,0,521,2062,4,369,"Medio","Rapido","Medio",1693,0
"185",459,406,0,0,505,1707,20,336,"Medio","Rapido","Medio",1371,1
"186",463,406,1,0,393,1697,6,464,"Medio","Rapido","Medio",1233,0
"187",465,406,1,0,338,2006,7,483,"Medio","Rapido","Medio",1523,0
"188",466,406,1,0,490,1952,10,479,"Medio","Rapido","Medio",1473,0
"190",471,406,0,1,468,1894,37,315,"Medio","Rapido","Medio",1579,0
"191",474,406,1,1,486,1949,24,628,"Medio","Rapido","Medio",1321,1
"193",479,406,1,1,315,1784,29,491,"Medio","Rapido","Medio",1293,1
"194",480,406,1,0,352,2403,9,1056,"Medio","Rapido","Medio",1347,0
"196",491,407,0,0,463,2474,2,940,"Lento","Rapido","Lento",1534,1
"197",493,407,0,0,239,2278,8,719,"Lento","Rapido","Lento",1559,1
"198",494,407,1,0,380,1678,15,-20,"Lento","Rapido","Lento",1698,0
"199",497,407,0,1,228,2244,22,607,"Lento","Rapido","Lento",1637,0
"200",498,407,0,0,30,2471,3,982,"Lento","Rapido","Lento",1489,1
"201",499,407,1,1,307,1865,39,555,"Lento","Rapido","Lento",1310,1
"202",500,407,1,1,575,1989,37,265,"Lento","Rapido","Lento",1724,1
"203",505,407,0,1,278,1900,26,714,"Lento","Rapido","Lento",1186,0
"204",506,407,0,0,284,2031,1,528,"Lento","Rapido","Lento",1503,1
"205",507,407,0,1,362,2022,25,455,"Lento","Rapido","Lento",1567,0
"206",508,407,1,1,397,2320,34,255,"Lento","Rapido","Lento",2065,1
"207",512,407,1,1,306,2469,32,1098,"Lento","Rapido","Lento",1371,1
"208",513,407,1,0,300,2349,12,603,"Lento","Rapido","Lento",1746,0
"209",514,407,1,0,370,2309,13,613,"Lento","Rapido","Lento",1696,0
"210",518,407,1,0,254,464,14,-905,"Lento","Rapido","Lento",1369,0
"211",519,407,1,1,558,338,35,-1696,"Lento","Rapido","Lento",2034,1
"212",523,407,0,0,238,606,9,-716,"Lento","Rapido","Lento",1322,1
"213",524,407,1,0,263,484,19,-538,"Lento","Rapido","Lento",1022,0
"214",528,407,0,0,261,491,5,-1384,"Lento","Rapido","Lento",1875,1
"215",531,407,0,1,260,414,29,-950,"Lento","Rapido","Lento",1364,0
"216",532,407,1,1,275,423,36,-1177,"Lento","Rapido","Lento",1600,1
"217",533,407,0,1,316,460,24,-1174,"Lento","Rapido","Lento",1634,0
"218",534,407,1,1,293,533,33,-1323,"Lento","Rapido","Lento",1856,1
"219",535,407,0,0,279,362,4,-1071,"Lento","Rapido","Lento",1433,1
"220",538,407,0,1,281,568,30,-859,"Lento","Rapido","Lento",1427,0
"221",539,407,1,0,308,492,17,-1016,"Lento","Rapido","Lento",1508,0
"222",541,407,0,1,245,448,23,-974,"Lento","Rapido","Lento",1422,0
"223",542,407,0,0,185,696,10,-1008,"Lento","Rapido","Lento",1704,1
"224",543,407,1,1,571,247,31,-935,"Lento","Rapido","Lento",1182,1
"225",547,407,1,0,344,315,18,-1075,"Lento","Rapido","Lento",1390,0
"226",548,407,1,0,589,238,16,-1495,"Lento","Rapido","Lento",1733,0
"227",552,407,0,1,294,332,21,-1604,"Lento","Rapido","Lento",1936,0
"228",553,407,1,1,313,281,38,-989,"Lento","Rapido","Lento",1270,1
"229",557,407,0,1,341,281,27,-1364,"Lento","Rapido","Lento",1645,0
"230",558,407,1,0,731,244,11,-1561,"Lento","Rapido","Lento",1805,0
"231",559,407,0,0,438,181,6,-1215,"Lento","Rapido","Lento",1396,1
"232",562,408,0,1,380,2225,33,369,"Medio","Medio","Medio",1856,0
"233",563,408,0,1,262,1870,38,600,"Medio","Medio","Medio",1270,0
"234",566,408,0,1,302,1768,32,397,"Medio","Medio","Medio",1371,0
"235",567,408,0,0,251,2685,18,1295,"Medio","Medio","Medio",1390,1
"236",576,408,0,0,604,2189,13,493,"Medio","Medio","Medio",1696,1
"237",586,408,1,0,235,2622,8,1063,"Medio","Medio","Medio",1559,0
"238",588,408,0,1,267,2745,35,711,"Medio","Medio","Medio",2034,0
"239",589,408,0,0,325,2243,17,735,"Medio","Medio","Medio",1508,1
"240",593,408,1,1,412,2795,23,1373,"Medio","Medio","Medio",1422,1
"241",594,408,0,0,284,2148,12,402,"Medio","Medio","Medio",1746,1
"242",595,408,0,1,166,2511,40,1104,"Medio","Medio","Medio",1407,0
"243",598,408,1,1,312,1911,26,725,"Medio","Medio","Medio",1186,1
"244",606,408,0,1,315,2612,34,547,"Medio","Medio","Medio",2065,0
"245",614,408,1,1,301,2240,22,603,"Medio","Medio","Medio",1637,1
"246",615,408,1,0,250,2805,10,1101,"Medio","Medio","Medio",1704,0
"247",617,408,1,0,488,2024,9,702,"Medio","Medio","Medio",1322,0
"248",622,408,0,1,273,2554,36,954,"Medio","Medio","Medio",1600,0
"249",627,408,0,0,251,2991,11,1186,"Medio","Medio","Medio",1805,1
"250",633,408,1,1,306,2108,25,541,"Medio","Medio","Medio",1567,1
"251",634,408,1,0,275,2076,1,573,"Medio","Medio","Medio",1503,0
"252",635,408,0,0,296,1770,14,401,"Medio","Medio","Medio",1369,1
"253",637,408,1,0,256,1806,3,317,"Medio","Medio","Medio",1489,0
"254",638,408,0,1,270,1669,39,359,"Medio","Medio","Medio",1310,0
"255",639,408,0,0,251,1465,19,443,"Medio","Medio","Medio",1022,1
"256",641,409,0,0,683,2597,12,1096,"Medio","Rapido","Medio",1501,1
"257",642,409,0,0,538,1596,19,319,"Medio","Rapido","Medio",1277,1
"258",644,409,0,1,615,1955,35,320,"Medio","Rapido","Medio",1635,0
"259",648,409,1,1,505,1627,24,306,"Medio","Rapido","Medio",1321,1
