"ptid","CueDirection","SentenceDirection","LiftOffLatency","Grupo","SentDur"
401,0,1,1906,Grupo A,1439
401,1,0,2224,Grupo A,1874
401,1,1,1853,Grupo A,1639
401,1,0,2528,Grupo A,1304
401,1,1,1740,Grupo A,1647
401,0,1,2008,Grupo A,1511
401,0,0,1964,Grupo A,1693
401,0,0,1504,Grupo A,1684
401,0,0,1876,Grupo A,1579
401,0,1,1569,Grupo A,1321
401,0,1,1817,Grupo A,1293
401,1,1,1636,Grupo A,1579
401,1,1,1511,Grupo A,1635
401,0,0,1640,Grupo A,1623
401,0,0,1483,Grupo A,1347
401,1,1,1632,Grupo A,1126
401,1,1,1655,Grupo A,1307
401,1,1,1407,Grupo A,1507
401,1,0,1492,Grupo A,1277
401,0,0,1620,Grupo A,1473
401,0,1,1765,Grupo A,1485
401,0,1,1776,Grupo A,1681
401,1,0,1642,Grupo A,1371
401,1,0,2128,Grupo A,2138
401,1,1,2175,Grupo A,1837
401,1,0,1906,Grupo A,1724
401,0,0,1638,Grupo A,1523
401,1,0,2211,Grupo A,2184
401,1,1,1860,Grupo A,1390
401,1,0,1793,Grupo A,1647
401,1,0,2290,Grupo A,1501
402,0,1,2161,Grupo A,1600
402,1,1,1928,Grupo A,1422
402,1,0,1952,Grupo A,1489
402,0,1,1989,Grupo A,1270
402,1,0,1706,Grupo A,1396
402,0,0,1902,Grupo A,1390
402,0,1,2064,Grupo A,1856
402,0,1,1648,Grupo A,1182
402,1,1,1691,Grupo A,1427
402,1,0,3150,Grupo A,1875
402,1,1,2079,Grupo A,1567
402,1,0,2393,Grupo A,1926
402,0,1,1786,Grupo A,1310
402,1,0,2155,Grupo A,1322
402,0,0,2063,Grupo A,1508
402,1,1,1948,Grupo A,1634
402,1,0,1660,Grupo A,1503
402,1,1,2603,Grupo A,1645
402,0,0,1975,Grupo A,1746
402,0,1,2352,Grupo A,1724
402,0,0,2625,Grupo A,1698
402,1,0,2841,Grupo A,1704
402,0,0,2450,Grupo A,1805
402,0,0,1528,Grupo A,1369
402,0,1,1631,Grupo A,1371
402,1,1,2765,Grupo A,1620
402,1,1,1746,Grupo A,1637
402,1,0,1709,Grupo A,1433
402,0,0,1456,Grupo A,1022
402,1,0,1748,Grupo A,1559
402,1,0,1743,Grupo A,1534
402,0,1,2175,Grupo A,2065
402,0,0,1997,Grupo A,1472
