"ID","CueDirection","SentenceDirection","liftOffDiff","Grupo","SentDur"
401,0,1,467,Grupo A,1439
401,1,0,350,Grupo A,1874
401,1,1,214,Grupo A,1639
401,1,0,1224,Grupo A,1304
401,1,1,93,Grupo A,1647
401,0,1,497,Grupo A,1511
401,0,0,271,Grupo A,1693
401,0,0,-180,Grupo A,1684
401,0,0,297,Grupo A,1579
401,0,1,248,Grupo A,1321
401,0,1,524,Grupo A,1293
401,1,1,57,Grupo A,1579
401,1,1,-124,Grupo A,1635
401,0,0,17,Grupo A,1623
401,0,0,136,Grupo A,1347
401,1,1,506,Grupo A,1126
401,1,1,348,Grupo A,1307
401,1,1,-100,Grupo A,1507
401,1,0,215,Grupo A,1277
401,0,0,147,Grupo A,1473
401,0,1,280,Grupo A,1485
401,0,1,95,Grupo A,1681
401,1,0,271,Grupo A,1371
401,1,0,-10,Grupo A,2138
401,1,1,338,Grupo A,1837
401,1,0,182,Grupo A,1724
401,0,0,115,Grupo A,1523
401,1,0,27,Grupo A,2184
401,1,1,470,Grupo A,1390
401,1,0,146,Grupo A,1647
401,1,0,789,Grupo A,1501
402,0,1,561,Grupo A,1600
402,1,1,506,Grupo A,1422
402,1,0,463,Grupo A,1489
402,0,1,719,Grupo A,1270
402,1,0,310,Grupo A,1396
402,0,0,512,Grupo A,1390
402,0,1,208,Grupo A,1856
402,0,1,466,Grupo A,1182
402,1,1,264,Grupo A,1427
402,1,0,1275,Grupo A,1875
402,1,1,512,Grupo A,1567
402,1,0,467,Grupo A,1926
402,0,1,476,Grupo A,1310
402,1,0,833,Grupo A,1322
402,0,0,555,Grupo A,1508
402,1,1,314,Grupo A,1634
402,1,0,157,Grupo A,1503
402,1,1,958,Grupo A,1645
402,0,0,229,Grupo A,1746
402,0,1,628,Grupo A,1724
402,0,0,927,Grupo A,1698
402,1,0,1137,Grupo A,1704
402,0,0,645,Grupo A,1805
402,0,0,159,Grupo A,1369
402,0,1,260,Grupo A,1371
402,1,1,1145,Grupo A,1620
402,1,1,109,Grupo A,1637
402,1,0,276,Grupo A,1433
402,0,0,434,Grupo A,1022
402,1,0,189,Grupo A,1559
402,1,0,209,Grupo A,1534
402,0,1,110,Grupo A,2065
402,0,0,525,Grupo A,1472
402,1,1,926,Grupo A,1186
402,0,0,162,Grupo A,1696
403,0,1,189,Grupo A,1635
403,1,0,216,Grupo A,1460
403,0,1,441,Grupo A,1579
403,0,1,581,Grupo A,1647
403,0,1,751,Grupo A,1837
403,0,0,1485,Grupo A,1724
403,1,0,464,Grupo A,1523
403,1,1,904,Grupo A,1293
403,1,0,2401,Grupo A,1579
403,1,1,610,Grupo A,1439
403,1,0,408,Grupo A,1623
403,1,1,681,Grupo A,1321
403,0,1,1350,Grupo A,1507
403,0,1,353,Grupo A,1639
403,1,0,757,Grupo A,1233
403,0,0,284,Grupo A,1874
403,1,1,559,Grupo A,1483
403,0,0,1010,Grupo A,1304
403,1,1,244,Grupo A,1681
403,0,0,489,Grupo A,1371
403,0,0,532,Grupo A,1002
403,0,1,787,Grupo A,1126
403,1,1,230,Grupo A,1485
403,0,0,668,Grupo A,2184
403,1,0,995,Grupo A,1347
403,0,0,654,Grupo A,1501
403,0,0,52,Grupo A,2138
403,1,0,-1383,Grupo A,1473
403,1,0,297,Grupo A,1693
403,0,0,378,Grupo A,1277
403,0,0,225,Grupo A,1647
404,1,1,341,Grupo A,1407
404,0,0,252,Grupo A,1704
404,1,0,255,Grupo A,1733
404,1,1,245,Grupo A,2034
404,0,0,223,Grupo A,1559
404,0,0,404,Grupo A,1503
404,0,0,333,Grupo A,1875
404,1,0,599,Grupo A,1022
404,1,0,45,Grupo A,1698
404,0,0,349,Grupo A,1396
404,0,1,643,Grupo A,1364
