"ID","CueDirection","SentenceDirection","MoveTime","Grupo","SentDur"
401,0,1,371,Grupo A,1439
401,1,0,281,Grupo A,1874
401,1,1,267,Grupo A,1639
401,1,0,225,Grupo A,1304
401,1,1,214,Grupo A,1647
401,0,1,331,Grupo A,1511
401,0,0,291,Grupo A,1693
401,0,0,396,Grupo A,1684
401,0,0,281,Grupo A,1579
401,0,1,273,Grupo A,1321
401,0,1,315,Grupo A,1293
401,1,1,210,Grupo A,1579
401,1,1,170,Grupo A,1635
401,0,0,280,Grupo A,1623
401,0,0,287,Grupo A,1347
401,1,1,269,Grupo A,1126
401,1,1,252,Grupo A,1307
401,1,1,277,Grupo A,1507
401,1,0,287,Grupo A,1277
401,0,0,445,Grupo A,1473
401,0,1,303,Grupo A,1485
401,0,1,322,Grupo A,1681
401,1,0,332,Grupo A,1371
401,1,0,620,Grupo A,2138
401,1,1,325,Grupo A,1837
401,1,0,283,Grupo A,1724
401,0,0,341,Grupo A,1523
401,1,0,299,Grupo A,2184
401,1,1,241,Grupo A,1390
401,1,0,227,Grupo A,1647
401,1,0,237,Grupo A,1501
402,0,1,513,Grupo B,1600
402,1,1,637,Grupo B,1422
402,1,0,635,Grupo B,1489
402,0,1,584,Grupo B,1270
402,1,0,445,Grupo B,1396
402,0,0,576,Grupo B,1390
402,0,1,643,Grupo B,1856
402,0,1,491,Grupo B,1182
402,1,1,435,Grupo B,1427
402,1,0,497,Grupo B,1875
402,1,1,334,Grupo B,1567
402,1,0,375,Grupo B,1926
402,0,1,484,Grupo B,1310
402,1,0,940,Grupo B,1322
402,0,0,487,Grupo B,1508
402,1,1,478,Grupo B,1634
402,1,0,411,Grupo B,1503
402,1,1,615,Grupo B,1645
402,0,0,430,Grupo B,1746
402,0,1,370,Grupo B,1724
402,0,0,202,Grupo B,1698
402,1,0,439,Grupo B,1704
402,0,0,452,Grupo B,1805
402,0,0,620,Grupo B,1369
402,0,1,621,Grupo B,1371
402,1,1,554,Grupo B,1620
402,1,1,395,Grupo B,1637
402,1,0,425,Grupo B,1433
402,0,0,399,Grupo B,1022
402,1,0,369,Grupo B,1559
402,1,0,299,Grupo B,1534
402,0,1,365,Grupo B,2065
402,0,0,349,Grupo B,1472
402,1,1,469,Grupo B,1186
402,0,0,446,Grupo B,1696
403,0,1,269,Grupo B,1635
403,1,0,245,Grupo B,1460
403,0,1,293,Grupo B,1579
403,0,1,285,Grupo B,1647
403,0,1,247,Grupo B,1837
403,0,0,278,Grupo B,1724
403,1,0,448,Grupo B,1523
403,1,1,410,Grupo B,1293
403,1,0,416,Grupo B,1579
403,1,1,451,Grupo B,1439
403,1,0,1133,Grupo B,1623
403,1,1,395,Grupo B,1321
403,0,1,293,Grupo B,1507
403,0,1,383,Grupo B,1639
403,1,0,524,Grupo B,1233
403,0,0,336,Grupo B,1874
403,1,1,476,Grupo B,1483
403,0,0,637,Grupo B,1304
403,1,1,486,Grupo B,1681
403,0,0,386,Grupo B,1371
403,0,0,435,Grupo B,1002
403,0,1,328,Grupo B,1126
403,1,1,240,Grupo B,1485
403,0,0,384,Grupo B,2184
403,1,0,351,Grupo B,1347
403,0,0,449,Grupo B,1501
403,0,0,394,Grupo B,2138
403,1,0,5089,Grupo B,1473
403,1,0,328,Grupo B,1693
403,0,0,303,Grupo B,1277
403,0,0,391,Grupo B,1647
404,1,1,56,Grupo A,1407
404,0,0,103,Grupo A,1704
404,1,0,19,Grupo A,1733
404,1,1,7,Grupo A,2034
404,0,0,2,Grupo A,1559
404,0,0,17,Grupo A,1503
404,0,0,20,Grupo A,1875
404,1,0,83,Grupo A,1022
404,1,0,121,Grupo A,1698
404,0,0,146,Grupo A,1396
404,0,1,57,Grupo A,1364
404,0,1,105,Grupo A,1634
404,0,1,124,Grupo A,1645
404,0,1,38,Grupo A,1637
404,1,1,146,Grupo A,1270
404,1,0,282,Grupo A,1746
404,1,1,175,Grupo A,1724
404,0,0,164,Grupo A,1489
404,0,1,82,Grupo A,1427
404,1,0,167,Grupo A,1472
404,0,1,62,Grupo A,1620
404,1,1,113,Grupo A,2065
404,1,0,150,Grupo A,1369
404,1,1,35,Grupo A,1371
404,1,1,113,Grupo A,1310
404,0,1,77,Grupo A,1567
404,1,1,431,Grupo A,1856
404,1,0,131,Grupo A,1508
404,1,0,31,Grupo A,1696
404,0,0,64,Grupo A,1926
404,1,1,143,Grupo A,1600
405,0,1,195,Grupo A,1485
405,0,0,132,Grupo A,1460
405,1,1,230,Grupo A,1635
405,0,1,62,Grupo A,1321
405,1,1,224,Grupo A,1639
405,1,1,278,Grupo A,1647
405,0,0,199,Grupo A,1684
405,0,0,185,Grupo A,1473
405,0,1,224,Grupo A,1511
405,1,0,265,Grupo A,1371
405,1,1,338,Grupo A,1390
405,1,0,356,Grupo A,1724
405,0,0,136,Grupo A,1579
405,1,1,261,Grupo A,1307
405,0,0,206,Grupo A,1623
405,1,0,634,Grupo A,1874
405,0,1,228,Grupo A,1746
405,0,1,139,Grupo A,1681
405,1,1,337,Grupo A,1579
405,0,0,237,Grupo A,1523
405,1,0,247,Grupo A,2138
405,1,0,757,Grupo A,1647
405,0,0,394,Grupo A,1347
405,0,1,240,Grupo A,1744
405,1,1,294,Grupo A,1126
405,0,0,141,Grupo A,1646
405,0,0,337,Grupo A,1693
405,0,0,270,Grupo A,1233
405,1,0,296,Grupo A,1277
406,0,1,877,Grupo B,1390
406,0,1,442,Grupo B,1635
406,0,0,517,Grupo B,1724
406,1,0,551,Grupo B,1579
406,1,1,723,Grupo B,1746
406,1,0,484,Grupo B,1646
406,0,0,577,Grupo B,2184
406,1,1,257,Grupo B,1439
406,1,1,282,Grupo B,2109
406,0,1,334,Grupo B,1639
406,0,0,246,Grupo B,1277
406,0,0,524,Grupo B,1304
406,1,1,517,Grupo B,1485
406,0,0,520,Grupo B,1874
406,0,1,840,Grupo B,1647
406,0,1,602,Grupo B,1126
406,0,0,432,Grupo B,2138
406,0,0,440,Grupo B,1647
