"","LiftOffMean.Group.1","LiftOffMean","LiftOffDiffMean","MoveTimeMean"
"1",401,1814.48387096774,255.161290322581,298.451612903226
"2",402,2045.4,503.6,479.542857142857
"3",403,2104.41935483871,568.129032258065,551.064516129032
"4",404,2086.03225806452,498.064516129032,105.290322580645
"5",405,2351.37931034483,796.103448275862,270.413793103448
"6",406,2247.83783783784,688.081081081081,619.567567567568
"7",407,1140.05405405405,-417.567567567568,397
"8",408,2243,708.083333333333,305.5
"9",409,2254.22222222222,682.694444444444,570.277777777778
"10",410,2561.84375,966.40625,390.03125
"11",411,1996.35135135135,441.405405405405,406.891891891892
"12",412,1956.71428571429,424.857142857143,364
"13",413,2299.85714285714,742.942857142857,333.857142857143
"14",414,2150.35,567.45,350.05
"15",415,2184.13333333333,641,252.033333333333
"16",416,1867.30303030303,298.242424242424,240.272727272727
"17",417,2247.83333333333,671.133333333333,287.1
"18",418,1971.83333333333,453.366666666667,397.4
"19",419,1942.65384615385,381.576923076923,305.384615384615
"20",420,1927.43333333333,366.4,152
"21",421,2044.57575757576,506.272727272727,421.424242424242
"22",422,2152.25,606.5,225.75
"23",423,2911.28125,1368.09375,325.375
"24",424,2311.83333333333,729.791666666667,404.5
"25",425,2486.27272727273,931.454545454545,299.090909090909
"26",426,2270.60714285714,691.821428571429,433.821428571429
"27",427,2078.91891891892,536.324324324324,336.189189189189
"28",428,2032.44827586207,471.103448275862,391.758620689655
"29",429,2323.93548387097,790.516129032258,324.806451612903
"30",430,2108.84375,540,184
"31",431,2094.48484848485,545.060606060606,316.666666666667
"32",432,1887.5625,325.21875,265.0625
"33",433,2179.43243243243,591.837837837838,216.702702702703
"34",434,2101,548.28,320.84
"35",435,1828.73913043478,331.391304347826,112.652173913043
"36",436,2407.84615384615,823.038461538462,552.615384615385
"37",437,2542,947.777777777778,373.185185185185
"38",438,2611.3125,1069.25,562.25
"39",439,2285.29411764706,725.382352941176,154.235294117647
"40",440,2672.92857142857,1147.85714285714,466.428571428571
"41",441,2238.55555555556,655.222222222222,576.833333333333
"42",442,2728.96428571429,1153.21428571429,281.464285714286
"43",443,2376.07692307692,851.576923076923,496.307692307692
"44",444,1927.96296296296,417.555555555556,278.62962962963
"45",445,2421.5,868.545454545455,436.227272727273
"46",446,2293.76923076923,767.807692307692,363.884615384615
"47",447,2301.10714285714,754.857142857143,503.571428571429
"48",448,3181.12,1554.36,541.28
"49",449,2120.3125,571.15625,236.84375
"50",450,2546.21739130435,1022.17391304348,378.869565217391
"51",451,2566.2962962963,1020.88888888889,385.962962962963
"52",452,2230.75757575758,671.515151515152,554.151515151515
"53",453,2495.70588235294,959.176470588235,399.470588235294
"54",454,2085.64285714286,551.571428571429,347
"55",455,2167.66666666667,556.583333333333,360.666666666667
"57",457,2203.21875,621.21875,247.65625
"58",458,1876.64705882353,320.705882352941,314.882352941176
"59",459,2368.16666666667,814.033333333333,345.033333333333
"60",460,2356.96,793.68,260.96
