"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4"
1,1,401,3,1,0,1,0,1,371,1906,1439,26,"You bought Christine ice cream"," 12/22/2016"," comprehension    "," n"," n"," n"
2,0,401,3,2,1,0,0,1,281,2224,1874,13,"Sara transmitted the orders to you"," 12/22/2016"," comprehension    "," n"," n"," n"
3,0,401,3,3,1,1,0,1,267,1853,1639,33,"You dedicated the song to John"," 12/22/2016"," comprehension    "," n"," n"," n"
4,0,401,3,4,1,0,1,1,0,0,1232,55,"Paul followed you the puppy"," 12/22/2016"," comprehension    "," n"," n"," n"
5,0,401,3,5,0,0,1,1,0,0,1215,46,"Gabe grabbed you to the vase"," 12/22/2016"," comprehension    "," n"," n"," n"
6,0,401,3,6,1,1,1,0,283,2090,1410,72,"You pitched the story Andy"," 12/22/2016"," comprehension    "," n"," n"," n"
7,0,401,3,7,0,1,1,0,321,1767,1584,68,"You drove the land to China"," 12/22/2016"," comprehension    "," n"," n"," n"
8,0,401,3,8,0,0,1,1,0,0,1314,41,"Al poured the horse to you"," 12/22/2016"," comprehension    "," n"," n"," n"
9,0,401,3,9,1,1,1,0,191,2133,1424,77,"You taught her time to Anna"," 12/22/2016"," comprehension    "," n"," n"," n"
10,0,401,3,10,0,1,1,1,0,0,1440,67,"You dreamt your dad a soccer ball"," 12/22/2016"," comprehension    "," n"," n"," n"
11,0,401,3,11,1,0,1,1,0,0,1388,56,"Sally thought the marble to you"," 12/22/2016"," comprehension    "," n"," n"," n"
12,0,401,3,12,1,0,0,1,225,2528,1304,18,"Amanda paid you tribute"," 12/22/2016"," comprehension    "," n"," n"," n"
13,0,401,3,13,1,1,1,1,0,0,1471,80,"You wrote Dave to the pencil"," 12/22/2016"," comprehension    "," n"," n"," n"
14,0,401,3,14,1,1,0,1,214,1740,1647,32,"You devoted your time to Tiana"," 12/22/2016"," comprehension    "," n"," n"," n"
15,0,401,3,15,1,0,1,0,209,1527,1158,54,"Mark treated you the car"," 12/22/2016"," comprehension    "," n"," n"," n"
16,0,401,3,16,0,1,0,1,331,2008,1511,28,"You handed Courtney the notebook"," 12/22/2016"," comprehension    "," n"," n"," n"
17,0,401,3,17,0,0,0,1,291,1964,1693,4,"Jeff entrusted the key to you"," 12/22/2016"," comprehension    "," n"," n"," n"
18,0,401,3,18,1,1,1,1,0,0,1396,78,"You told the kiss to Ian"," 12/22/2016"," comprehension    "," n"," n"," n"
19,0,401,3,19,1,0,1,1,0,0,1477,60,"Sally ate you the teacup"," 12/22/2016"," comprehension    "," n"," n"," n"
20,0,401,3,20,0,0,0,1,396,1504,1684,2,"Vincent donated money to you"," 12/22/2016"," comprehension    "," n"," n"," n"
