,Frecuencia,Orientacion,Categoria,tecla
0,5.93196959075185,127.47737405748008,A,left
1,5.854430776194954,117.43066219475885,A,left
2,5.965715904251782,125.78797409596943,A,left
3,6.211277113859689,125.83613903175356,A,left
4,6.184349557153399,122.64618066553957,A,left
5,6.3435716449781925,122.27441850125821,A,left
6,6.1723048065297075,127.9178410876162,A,left
7,5.934487693555567,126.85012402267233,A,left
8,5.956079418018876,127.50709984677881,A,left
9,6.142996470494782,126.65790675310716,A,left
10,6.477232725745194,132.9698737214029,A,left
11,5.724699075577254,126.33854913812839,A,left
12,6.1273914690727125,127.16552565652381,A,left
13,5.78253765455631,122.56577176763675,A,left
14,5.967326880915936,125.60303163760436,A,left
15,5.634910179546642,128.5035338995001,A,left
16,6.182162291627922,124.93464200988198,A,left
17,5.991266836162781,119.02755224263416,A,left
18,5.793269673267117,125.54375971529667,A,left
19,6.158862341937934,123.68178068531644,A,left
20,5.850892826048968,132.27893633705582,A,left
21,5.892459498576738,127.90713867282302,A,left
22,5.639748472232595,129.6799480157564,A,left
23,5.817386599802748,126.396525555873,A,left
24,5.841470231479707,124.46992205605363,A,left
25,6.01733120967078,122.53510365835635,A,left
26,5.639867544929854,118.64595088061897,A,left
27,6.0534664622673935,117.82766104359773,A,left
28,5.876193392139069,128.39015375127542,A,left
29,5.906954318578375,122.78803830073628,A,left
30,6.118293867900877,125.39410979708967,A,left
31,6.057917479729472,125.0139803780656,A,left
32,5.752732036760541,124.36222306374225,A,left
33,6.179131704325667,128.5940258639838,A,left
34,5.952307646107805,126.73913594780386,A,left
35,6.095301194070273,129.6105083256413,A,left
36,6.002864268765052,125.56672681716351,A,left
37,5.865580213632964,121.11557978499106,A,left
38,6.124324489427677,117.97611852188814,A,left
39,6.125897755445835,120.0491099213156,A,left
40,5.769905922904612,118.22224301615165,A,left
41,6.050031818623288,126.89468913577868,A,left
42,5.972775055920426,126.8956857583513,A,left
43,5.968014367950515,122.71075529902681,A,left
44,5.765074824098155,128.0360974040904,A,left
45,6.02215844660558,124.6036126576438,A,left
46,5.95936515750304,121.91650197731342,A,left
47,5.912840490039083,126.64481633851831,A,left
48,6.1432026467119,122.59002443180508,A,left
49,5.732720562643058,120.79740597774676,A,left
50,6.171068882808912,127.34341179252208,A,left
51,6.2309235457657675,127.48361731392195,A,left
52,6.017439576258946,120.19058207638159,A,left
53,5.680719557144504,124.84180890581149,A,left
54,6.008225096162025,125.89286296997041,A,left
55,5.876240141987156,125.02794664426546,A,left
56,5.857078283712616,124.30632687020194,A,left
57,5.977242028060886,120.36315939058822,A,left
58,6.017776884333801,125.00604927036746,A,left
59,6.064321256782564,129.7501452571472,A,left
60,6.209330528358583,125.46316693294989,A,left
61,5.932162901277698,129.4472293357161,A,left
62,6.123037952479459,122.5854188255937,A,left
63,6.0793511030393255,127.60946529169928,A,left
64,5.692448796635087,124.57789660062312,A,left
65,6.043908859471664,122.88474300039606,A,left
66,5.958730102674403,125.44429484991014,A,left
67,5.972649927078102,125.74136515359092,A,left
68,5.968223928449215,125.6700814897947,A,left
69,5.868393657373218,125.5943701223803,A,left
70,5.9795165476198,122.93466896042416,A,left
71,6.239263005662106,121.67461010439011,A,left
72,6.07317793129252,129.2080400024222,A,left
73,5.929518026549565,122.61837013108818,A,left
74,5.79553034721129,125.61372862659394,A,left
75,5.998807852123925,124.76684755800748,A,left
76,5.838404377634316,122.88637171217256,A,left
77,5.966970651627378,131.56490508538323,A,left
78,6.1577868003837555,127.90959472149034,A,left
79,5.9036596275549655,128.93273248076312,A,left
0,6.3398644250746905,125.2077679923835,B,right
1,6.4914933636745396,124.92391023562735,B,right
2,6.393867796547779,125.01223853173641,B,right
3,6.615263367706751,128.19930856676112,B,right
4,6.592415660559949,126.16812021921976,B,right
5,6.767876603555443,124.95020881727302,B,right
6,6.45347927328079,129.67128294606357,B,right
7,6.709360485643701,125.66671957731815,B,right
8,6.5311771213119725,125.87633196056895,B,right
9,6.47014056527745,123.0408117803243,B,right
10,6.770763522440704,126.08329381004633,B,right
11,6.668434383354005,122.16749174270981,B,right
12,6.581165708775735,126.82380875746946,B,right
13,6.703847419101219,130.2722012358379,B,right
14,6.636400875350254,124.19633478994666,B,right
15,6.641594832522798,128.31104479101933,B,right
16,6.576716569269202,133.5768586573505,B,right
17,6.465062650874911,128.47783537107796,B,right
18,6.347813668743117,124.35255239803494,B,right
19,6.357331285886029,121.94462900015876,B,right
20,6.568026824942255,122.54515054523937,B,right
21,6.47450960349238,133.7134166683546,B,right
22,6.690599017293765,118.52748280587612,B,right
23,6.508016419684169,121.34339911988046,B,right
24,6.290152347974568,125.05229035951122,B,right
25,6.500335659822119,124.80595563114382,B,right
26,6.473472165456042,124.48524996017942,B,right
27,6.360347536129286,124.56261034377677,B,right
28,6.781133289983181,127.36550604209991,B,right
29,6.353046546853428,122.88138035776093,B,right
30,6.620834502632404,118.0655050789612,B,right
31,6.433690426105834,120.77923561083321,B,right
32,6.229631967497193,126.46037323926107,B,right
33,6.445169538916857,123.7582159819142,B,right
34,6.917886290206029,124.56803790895638,B,right
35,6.533397624413993,124.60084021766167,B,right
36,6.842518301715173,124.80737110612466,B,right
37,6.671738227843062,126.81406094686822,B,right
38,6.47451071863169,124.7544985829466,B,right
39,6.643328061280072,130.4829202602344,B,right
40,6.487620483865076,121.26993493647062,B,right
41,6.81403292606229,128.76120381530993,B,right
42,6.495474320847755,125.26127787712632,B,right
43,6.613583959061205,122.18310423318394,B,right
44,6.567009492152998,126.72035219895571,B,right
45,6.287799597425285,121.43609419603743,B,right
46,6.612069809909513,124.49933699301087,B,right
47,6.367344302691012,127.1124530058789,B,right
48,6.630757288692682,127.44530727358914,B,right
49,6.646084211157626,124.44062286579505,B,right
50,6.5211169224719905,118.07433563361943,B,right
51,6.5328353621749455,127.80196157451087,B,right
52,6.684660828859703,122.6172941371693,B,right
53,6.556560507986949,128.69358515307806,B,right
54,6.467920455978433,127.26037016619274,B,right
55,6.259456034415299,127.8597862301326,B,right
56,6.573207034835431,123.03678593777163,B,right
57,6.6163956645134805,117.7027284028403,B,right
58,6.493422984277854,124.67581810310264,B,right
59,6.581101896905831,127.23223441526137,B,right
60,6.496314096526479,122.48641871078304,B,right
61,6.481969646419859,123.74258065270494,B,right
62,6.47522252387609,128.83376787606267,B,right
63,6.663571376791181,126.3173996768433,B,right
64,6.4857235358309175,129.50825153219486,B,right
65,6.3652378344087985,123.99686005336355,B,right
66,6.522031691739052,123.24596724273661,B,right
67,6.808301876091535,123.45879565253385,B,right
68,6.287287490765906,127.99439158695107,B,right
69,6.481810379909168,129.4468304624468,B,right
70,6.673534467117628,124.19723249246161,B,right
71,6.3586439978897396,128.23394363133684,B,right
72,6.646759820663666,128.77782535224028,B,right
73,6.572763622285571,130.01042667596292,B,right
74,6.417273527762957,125.25738204600769,B,right
75,6.302961007547819,127.93118507763299,B,right
76,6.739426455232185,120.33910419025175,B,right
77,6.747885800069989,122.80274642090933,B,right
78,6.405053643818485,124.13251466194143,B,right
79,6.235225404195795,127.21709466631619,B,right
