FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.02,0.0,0.0,Correcta,right,0,0,0,0,16.659963199985214,19.659829500014894,20.15997309994418,22.66052719997242,23.16071500000544,None,25.761704199947417,None,right,1,2.4215725999092683,25.86181679996662,None,28.31513919995632,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.01,45.0,0.0,Correcta,right,0,1,1,1,,,,,,,29.412764100008644,None,right,1,0.7307450999505818,29.5125736000482,None,30.2629979000194,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.025,90.0,0.0,Incorrecta,left,0,2,2,2,,,,,,,31.346664599957876,None,right,0,0.20396660000551492,31.446709600044414,None,31.69613890000619,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.045,135.0,0.0,Incorrecta,left,0,3,3,3,,,,,,,32.77974359993823,None,right,0,0.6514818000141531,32.8798977000406,None,33.56392520002555,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.09,0.0,0.0,Correcta,right,0,4,4,4,,,,,,,34.647240299964324,None,right,1,0.5510682000312954,34.74740600003861,None,35.3317913999781,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.1,25.0,0.0,Correcta,right,0,5,5,5,,,,,,,36.41440889996011,None,right,1,0.7205667000962421,36.5142733999528,None,37.26477759995032,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.03,15.0,0.0,Correcta,right,0,6,6,6,,,,,,,38.34816339996178,None,right,1,0.6273183000739664,38.44829219998792,None,39.09844059997704,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.08,0.0,0.0,Correcta,right,0,7,7,7,,,,,,,40.18243089993484,None,right,1,0.9208278999431059,40.282144199940376,None,41.23238029994536,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.06,100.0,0.0,Incorrecta,left,0,8,8,8,,,,,,,42.31676279997919,None,right,0,0.9865345999132842,42.41694509994704,None,43.43450540001504,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.015,120.0,0.0,Incorrecta,left,0,9,9,9,,,,,,,44.51742289995309,None,left,1,0.7537476000143215,44.61761930002831,None,45.40278520004358,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.041,150.0,0.0,Incorrecta,left,0,10,10,10,,,,,,,46.501492799958214,None,left,1,1.0335133000044152,46.6015611999901,None,47.651853299932554,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
0.035,200.0,0.0,Incorrecta,left,0,11,11,11,,,,,,,48.7354706999613,None,right,0,0.8155801999382675,48.83551649993751,None,49.671116700046696,None,,,Anto 2022,001,2022-04-21_17h36.31.334,PruebaGabor2,2022.1.3,59.96465684136956,
