FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.02,0.0,0.0,Correcta,right,0,0,0,0,17.888476399937645,20.891605800017715,21.37441230006516,23.88757500005886,24.369853399926797,None,27.061145500047132,None,right,0,1.1788622001186013,27.115313400048763,None,28.33577960007824,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.01,45.0,0.0,Correcta,right,0,1,1,1,,,,,,,29.428654999937862,None,right,0,0.6530273999087512,29.53127899998799,None,30.21295870002359,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.025,90.0,0.0,Incorrecta,left,0,2,2,2,,,,,,,31.31161760003306,None,right,0,0.5041765000205487,31.414391200058162,None,31.943200000096112,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.045,135.0,0.0,Incorrecta,left,0,3,3,3,,,,,,,33.04330289992504,None,right,0,0.3283559998963028,33.14342460012995,None,33.499946200056,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.09,0.0,0.0,Correcta,right,0,4,4,4,,,,,,,34.58688660012558,None,right,0,0.26731089991517365,34.69003950012848,None,34.97774689993821,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.1,25.0,0.0,Correcta,right,0,5,5,5,,,,,,,36.07112700003199,None,right,0,0.4146148001309484,36.17091970006004,None,36.617001600097865,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.03,15.0,0.0,Correcta,right,0,6,6,6,,,,,,,37.71552510000765,None,right,0,0.4263059999793768,37.815393100026995,None,38.26496080006473,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.08,0.0,0.0,Correcta,right,0,7,7,7,,,,,,,39.36372149991803,None,right,0,0.6618941999040544,39.46278079994954,None,40.145117999985814,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.06,100.0,0.0,Incorrecta,left,0,8,8,8,,,,,,,41.22885080007836,None,right,0,0.38766809995286167,41.32846760004759,None,41.74497519992292,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.015,120.0,0.0,Incorrecta,left,0,9,9,9,,,,,,,42.84377779997885,None,right,0,0.009417199995368719,42.943469299934804,None,42.97997840004973,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.041,150.0,0.0,Incorrecta,left,0,10,10,10,,,,,,,44.07309149997309,None,right,0,1.316576600074768,44.17293610004708,None,45.51406810013577,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.035,200.0,0.0,Incorrecta,left,0,11,11,11,,,,,,,46.60342000005767,None,right,0,0.5035611998755485,46.70416450011544,None,47.24568670010194,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.081,220.0,0.0,Incorrecta,left,0,12,12,12,,,,,,,48.335406500147656,None,right,0,0.5509659999515861,48.434338100021705,None,49.01512090000324,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.04,300.0,0.0,Incorrecta,left,0,13,13,13,,,,,,,50.10044159996323,53.10858540004119,None,0,,50.19987479993142,None,53.20852060010657,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.012,345.0,0.0,Incorrecta,left,0,14,14,14,,,,,,,54.308470899937674,None,right,0,0.35676239989697933,54.40875510009937,None,54.79690550011583,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.085,10.0,0.0,Correcta,right,0,15,15,15,,,,,,,55.89023800007999,None,right,0,0.22114709997549653,55.98843830008991,None,56.238051699940115,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.008,85.0,0.0,Incorrecta,left,0,16,16,16,,,,,,,57.33867530012503,None,right,0,0.27372279996052384,57.43894809996709,None,57.74428820004687,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.025,175.0,0.0,Incorrecta,left,0,17,17,17,,,,,,,58.83670060010627,None,right,0,0.48802449996583164,58.937378000002354,None,59.45231800014153,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.055,190.0,0.0,Incorrecta,left,0,18,18,18,,,,,,,60.55026439996436,63.560263900086284,None,0,,60.64957260014489,None,63.66001250012778,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.036,100.0,0.0,Incorrecta,left,0,19,19,19,,,,,,,64.757541900035,None,right,0,0.9250308000482619,64.86063409992494,None,65.80662399996072,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
0.015,25.0,0.0,Correcta,right,0,20,20,20,,,,,,,66.89071270008571,None,right,0,0.29013779992237687,66.99136530002579,None,67.31354010012001,None,Anto MM,001,2021_Dec_13_1638,PruebaGabor2,2021.1.0,60.154717879970136,
