FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.02,0.0,0.0,Correcta,right,0,0,0,0,45.165542599977925,48.17539820005186,48.511001399951056,51.02075619995594,51.50492550013587,None,54.536602600011975,None,None,0,54.54853560007177,None,57.30129009997472,None,,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.01,45.0,0.0,Correcta,right,0,1,1,1,,,,,,,58.346125999931246,61.355710700154305,None,0,58.445977800060064,None,61.42458699992858,None,,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.025,90.0,0.0,Incorrecta,left,0,2,2,2,,,,,,,62.51939110015519,65.5316292999778,None,0,62.6038287000265,None,65.62248750007711,None,,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.045,135.0,0.0,Incorrecta,left,0,3,3,3,,,,,,,66.70006910013035,None,right,0,66.80002700001933,None,68.04270810005255,None,1.1532597001641989,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.09,0.0,0.0,Correcta,right,0,4,4,4,,,,,,,69.12581659993157,None,left,0,69.22531939996406,None,69.67532659997232,None,0.4234402999281883,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.1,25.0,0.0,Correcta,right,0,5,5,5,,,,,,,70.7760095000267,None,left,0,70.87586070015095,None,71.24053950002417,None,0.33477429999038577,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.03,15.0,0.0,Correcta,right,0,6,6,6,,,,,,,72.33717050007544,None,left,0,72.43706799997017,None,72.72025869996287,None,0.2596861000638455,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.08,0.0,0.0,Correcta,right,0,7,7,7,,,,,,,73.81826460012235,None,left,0,73.91855049994774,None,74.26768740010448,None,0.32197339995764196,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.06,100.0,0.0,Incorrecta,left,0,8,8,8,,,,,,,75.36769480002113,None,left,0,75.46773910010234,None,75.71615709993057,None,0.2288343000691384,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.015,120.0,0.0,Incorrecta,left,0,9,9,9,,,,,,,76.81373100006022,None,left,0,76.91347509995103,None,77.06334870005958,None,0.12420589989051223,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.041,150.0,0.0,Incorrecta,left,0,10,10,10,,,,,,,78.16176600009203,None,left,0,78.26178329996765,None,78.31112670013681,None,0.025918800150975585,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.035,200.0,0.0,Incorrecta,left,0,11,11,11,,,,,,,79.41023349994794,None,left,0,79.50963099999353,None,79.62592000002041,None,0.08502659993246198,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.081,220.0,0.0,Incorrecta,left,0,12,12,12,,,,,,,80.72503890004009,None,left,0,80.82408399996348,None,81.00708999997005,None,0.16680709994398057,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.04,300.0,0.0,Incorrecta,left,0,13,13,13,,,,,,,82.10616290010512,None,left,0,82.20614990009926,None,82.4218286999967,None,0.19304100004956126,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.012,345.0,0.0,Incorrecta,left,0,14,14,14,,,,,,,83.52052749996074,None,left,0,83.61959480005316,None,83.77004080009647,None,0.1270675000268966,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.085,10.0,0.0,Correcta,right,0,15,15,15,,,,,,,84.86807770002633,None,left,0,84.96782699995674,None,85.30054450011812,None,0.305741700110957,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.008,85.0,0.0,Incorrecta,left,0,16,16,16,,,,,,,86.39958920003846,None,left,0,86.4995047999546,None,86.64856510004029,None,0.1250483999028802,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.025,175.0,0.0,Incorrecta,left,0,17,17,17,,,,,,,87.7467165000271,None,left,0,87.846436599968,None,87.96303849993274,None,0.08519869996234775,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.055,190.0,0.0,Incorrecta,left,0,18,18,18,,,,,,,89.0615060001146,None,left,0,89.16205739998259,None,90.34265140001662,None,1.150958300102502,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.036,100.0,0.0,Incorrecta,left,0,19,19,19,,,,,,,91.4426841000095,None,left,0,91.54274299996905,None,91.90944440010935,None,0.3433015001937747,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.015,25.0,0.0,Correcta,right,0,20,20,20,,,,,,,93.00750489998609,None,left,0,93.10734240012243,None,93.7893175999634,None,0.6576771999243647,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.089,35.0,0.0,Correcta,right,0,21,21,21,,,,,,,94.8865167000331,None,left,0,94.98645600001328,None,95.01964880013838,None,0.008524700067937374,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.054,10.0,0.0,Correcta,right,0,22,22,22,,,,,,,96.10143900010735,None,left,0,96.20124550000764,None,96.25130839995109,None,0.027984899934381247,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.047,5.0,0.0,Correcta,right,0,23,23,23,,,,,,,97.35270179994404,None,left,0,97.45248330011964,None,97.62345590000041,None,0.15031159995123744,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.093,210.0,0.0,Incorrecta,right,0,24,24,24,,,,,,,98.71623280015774,None,left,0,98.81596200005151,None,98.86866279994138,None,0.019706099992617965,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.09,120.0,0.0,Incorrecta,right,0,25,25,25,,,,,,,99.96122230007313,None,left,0,100.06103010009974,None,100.11107169999741,None,0.03292029979638755,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.074,85.0,0.0,Incorrecta,right,0,26,26,26,,,,,,,101.2094171999488,104.20834350003861,None,0,101.30923669994809,None,104.32694850000553,None,,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
0.042,30.0,0.0,Correcta,right,0,27,27,27,,,,,,,105.42004070011899,108.43445609998889,None,0,105.51977619994432,None,108.53593780007213,None,,Anto.M,001,2021_Dec_13_1633,PruebaGabor2,2021.1.0,60.08878714044163,
,,,,,,,,,,,,,,,109.6310048000887,112.64276980003342,None,0,109.7306333000306,None,,,,,,,,,,
