FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,18.894192400039174,None,space,0.38376050000078976,18.894192400039174,None,,,,,,,,,,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
0.02,0.0,0.0,Correcta,right,0,0,0,0,,,,,,,19.492822300060652,None,right,0,0.8807940999977291,19.55285840004217,None,20.476902000023983,None,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
0.01,45.0,0.0,Correcta,right,0,1,1,1,,,,,,,21.569545299978927,None,right,0,0.24244010006077588,21.668966299970634,None,21.93759810004849,None,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
0.025,90.0,0.0,Incorrecta,left,0,2,2,2,,,,,,,23.03237390005961,None,right,0,0.11726740002632141,23.13187789998483,None,23.26616700005252,None,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
0.045,135.0,0.0,Incorrecta,left,0,3,3,3,,,,,,,24.363080200040713,None,right,0,0.09686280007008463,24.464562900015153,None,24.58843650005292,None,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
0.09,0.0,0.0,Correcta,right,0,4,4,4,,,,,,,25.6798090999946,None,right,0,0.5042172000976279,25.779494100017473,None,26.31028159998823,None,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
0.1,25.0,0.0,Correcta,right,0,5,5,5,,,,,,,27.410573999979533,None,left,0,0.19819010002538562,27.509276999975555,None,27.725399999995716,None,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
0.03,15.0,0.0,Correcta,right,0,6,6,6,,,,,,,28.82358419999946,None,left,0,0.3440843999851495,28.924556100042537,None,29.293308699969202,None,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
0.08,0.0,0.0,Correcta,right,0,7,7,7,,,,,,,30.388684700010344,None,left,0,0.11582679999992251,30.48946499999147,None,30.635545399971306,None,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
0.06,100.0,0.0,Incorrecta,left,0,8,8,8,,,,,,,31.717603199998848,None,left,0,0.028589299996383488,31.81968199997209,None,31.87282819999382,None,anto2,001,2021_Apr_07_1711,PruebaGabor2,2021.1.0,60.28410694097979,
