FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,12.848815299999842,None,space,1.0226771999996345,12.848815299999842,None,,,,,,,,,,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
0.02,0.0,0.0,Correcta,right,0,0,0,0,,,,,,,14.091076200000316,None,right,0,1.1119237000002613,14.144394699999793,None,15.297711000000163,None,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
0.01,45.0,0.0,Correcta,right,0,1,1,1,,,,,,,16.392002200000206,None,left,0,1.2178850000000239,16.492397300000448,None,17.74495569999999,None,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
0.025,90.0,0.0,Incorrecta,left,0,2,2,2,,,,,,,18.8455285,None,right,0,2.0026340000003984,18.937319200000275,None,20.966497000000345,None,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
0.045,135.0,0.0,Incorrecta,left,0,3,3,3,,,,,,,22.06726290000006,None,left,0,0.8111152000001312,22.167226100000335,None,23.004596000000674,None,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
0.09,0.0,0.0,Correcta,right,0,4,4,4,,,,,,,24.096649200000684,None,right,0,0.5954412999999477,24.19497930000034,None,24.811227700000018,None,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
0.1,25.0,0.0,Correcta,right,0,5,5,5,,,,,,,25.911293099999966,None,right,0,0.8328074000000925,26.009515499999907,None,26.87703760000022,None,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
0.03,15.0,0.0,Correcta,right,0,6,6,6,,,,,,,27.974761700000272,None,left,0,0.31112080000002607,28.07460750000064,None,28.40611070000068,None,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
0.08,0.0,0.0,Correcta,right,0,7,7,7,,,,,,,29.505886400000236,None,right,0,1.020009900000332,29.60565839999981,None,30.65793759999997,None,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
0.06,100.0,0.0,Incorrecta,left,0,8,8,8,,,,,,,31.750871900000675,None,right,0,0.1724328999998761,31.850050900000497,None,32.049856999999975,None,hbjh,001,2021_Mar_01_1739,PruebaGabor2,2021.1.0,60.07196621552207,
