FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,17.939744099974632,None,space,3.6349343999754637,17.939744099974632,None,,,,,,,,,,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.02,0.0,0.0,Correcta,right,0,0,0,0,,,,,,,21.991247200057842,None,right,0,1.1084584000054747,22.00820050004404,None,23.267996200011112,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.01,45.0,0.0,Correcta,right,0,1,1,1,,,,,,,24.356425100006163,None,right,0,1.163503999938257,24.45626240002457,None,25.637877200031653,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.025,90.0,0.0,Incorrecta,left,0,2,2,2,,,,,,,26.735903699998744,None,right,0,1.2743933000601828,26.83590579999145,None,28.133073000004515,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.045,135.0,0.0,Incorrecta,left,0,3,3,3,,,,,,,29.232377300038934,None,left,0,0.8350664000026882,29.332090600044467,None,30.211325100040995,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.09,0.0,0.0,Correcta,right,0,4,4,4,,,,,,,31.296596799977124,None,left,0,1.1133115999400616,31.396516400040127,None,32.52816390001681,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.1,25.0,0.0,Correcta,right,0,5,5,5,,,,,,,33.62440079997759,None,right,0,0.8587781999958679,33.72422680002637,None,34.60933590005152,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.03,15.0,0.0,Correcta,right,0,6,6,6,,,,,,,35.70513939997181,None,right,0,0.6444858000613749,35.80550060002133,None,36.471310700057074,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.08,0.0,0.0,Correcta,right,0,7,7,7,,,,,,,37.56920450006146,None,left,0,0.7513158000074327,37.6693518999964,None,38.45080180000514,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.06,100.0,0.0,Incorrecta,left,0,8,8,8,,,,,,,39.53336590004619,None,left,0,0.4325015000067651,39.6332975999685,None,40.08303830004297,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.015,120.0,0.0,Incorrecta,left,0,9,9,9,,,,,,,41.182770000072196,None,right,0,0.3408773000119254,41.28130550007336,None,41.648534500040114,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.041,150.0,0.0,Incorrecta,left,0,10,10,10,,,,,,,42.74407020001672,None,left,0,0.4627866999944672,42.84286119998433,None,43.3290158000309,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.035,200.0,0.0,Incorrecta,left,0,11,11,11,,,,,,,44.424338300013915,None,right,0,0.2111165999667719,44.52529450005386,None,44.757752100005746,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.081,220.0,0.0,Incorrecta,left,0,12,12,12,,,,,,,45.85606500005815,None,right,0,0.30301100003998727,45.95521689997986,None,46.288576300023124,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.04,300.0,0.0,Incorrecta,left,0,13,13,13,,,,,,,47.38706340000499,None,right,0,0.46437239996157587,47.48704280005768,None,47.96946479997132,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
0.012,345.0,0.0,Incorrecta,left,0,14,14,14,,,,,,,49.06845250003971,None,right,0,0.08240569999907166,49.16684850002639,None,49.27203950006515,None,trty,001,2021_Apr_06_1507,PruebaGabor2,2021.1.0,59.33689828771024,
,,,,,,,,,,,,,,,50.365480500040576,None,right,0,0.17874360003042966,50.46537930006161,None,,,,,,,,,
