Frecuencia,Orientaciondecimales,Categoria,Orientacion,FrecuenciaEspacial,tecla,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,keyrespTest.keys,keyrespTest.corr,keyrespTest.started,keyrespTest.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,21.76287869999942,22.978386499999033,None,21.76287869999942,23.361828199998854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
,,,,,,,,,,,,,,,,,,,22.978386499999033,23.69546360000095,space,1.350768699998298,22.978386499999033,24.679215200001636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
,,,,,,,,,,,,,,,,,,,,,,,,,23.69546360000095,25.162646600001608,space,1.9843633999989834,23.69546360000095,26.095871599998645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.162646600001608,26.596881099998427,None,25.162646600001608,27.963855300000432,,,,,,,,,,,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
5.75266988645415,0.981868948378523,A,98.18689483785231,0.02876334943227075,left,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.596881099998427,None,right,0,1.5707642999987002,30.79806119999921,None,30.698126200000843,None,32.39865060000011,None,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
5.63503896122014,0.942857344714462,A,94.2857344714462,0.028175194806100697,left,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,1.9220760999996855,33.5823836999989,None,33.48238599999968,None,35.53412620000017,None,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
5.75349902682942,0.976843040460124,A,97.6843040460124,0.0287674951341471,left,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.467738899995311,36.71666220000043,None,36.61673869999868,None,38.21736149999924,None,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
6.76753116765003,0.60647052076609,B,60.647052076609,0.03383765583825015,right,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,1.3355346999996982,39.400819300000876,None,39.30065190000096,None,40.76962600000115,None,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
5.64036966612441,0.946219449854496,A,94.6219449854496,0.02820184833062205,left,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.33602020000034827,41.96831419999944,None,41.86825709999903,None,42.33513279999897,None,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
5.76793716427588,0.991949304766192,A,99.1949304766192,0.0288396858213794,left,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.16123769999830984,43.51876500000071,None,43.41878319999887,None,43.702098800000385,None,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_14h46.10.698,PruebaGabor2,2022.1.3,60.001932061644055,
