Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,KeyRespPrueba.rt,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,19.67912000000001,130.93031150000007,None,19.67912000000001,139.2496362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
,,,,,,,,,,,,,,,,,,,130.93031150000007,144.8181037,None,130.93031150000007,155.154567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
,,,,,,,,,,,,,,,,,,,,,,,,144.8181037,157.5220043,None,144.8181037,177.49500589999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.5220043,183.61352460000006,None,157.5220043,189.88203670000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.61352460000006,190.41533610000005,None,183.61352460000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.8071055031334,126.095527609804,A,left,0.029035527515667,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,197.4008462,None,197.30069129999998,200.3014496,200.40777800000006,None,,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.64436961501561,120.102947993844,A,left,0.028221848075078052,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,201.58538879999998,None,201.48546360000006,204.4864902,204.58657339999996,None,,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.01842108155121,124.970499761804,A,left,0.030092105407756052,6,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,205.77012259999998,None,205.6701261,None,207.40379160000003,None,1.6088020999999912,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.59991295731731,123.659377025703,A,left,0.027999564786586547,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,208.5874008,None,208.48749560000005,None,208.9054875,None,0.28877820000008114,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.86000675504161,125.097810493697,A,left,0.02930003377520805,10,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,210.08837469999997,None,209.98830630000003,None,210.95528050000001,None,0.8428207000000043,,,,,,,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
