Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,key_resp.rt,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,29.71620200003963,38.78498330002185,None,29.71620200003963,52.62246129999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
,,,,,,,,,,,,,,,,,,38.78498330002185,63.04225159995258,None,38.78498330002185,87.53346489998512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
,,,,,,,,,,,,,,,,,,,,,,,63.04225159995258,88.35029920004308,None,63.04225159995258,128.37965919997077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.35029920004308,128.8797641999554,None,88.35029920004308,130.53020799998194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.49400070200202,247,B,right,0.0324700035100101,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,128.8797641999554,None,right,1,1.4119408000260592,133.08095149998553,None,132.9809518000111,None,134.51448799995705,None,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.7112388074605,147,B,right,0.0335561940373025,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,2.5302698999876156,135.6985775999492,None,135.59848040004726,None,138.2501179999672,None,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.29639159036468,139,B,right,0.031481957951823396,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,1.122730299946852,139.43300940003246,None,139.33292059996165,None,140.583100299933,None,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.21034628701276,88,A,left,0.021051731435063798,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,1.405493599944748,141.7670661000302,None,141.66704550001305,None,143.200890099979,None,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.36345945902825,5,A,left,0.021817297295141248,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.7232048000441864,144.38461770000868,None,144.28447309997864,None,145.1383205000311,None,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.27238428520602,192,A,left,0.021361921426030103,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.9814185000723228,146.33510589995421,None,146.23519889998715,None,148.33585120004136,None,,,,,,,,,,,,,,,,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
