trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,51.81324819999281,None,space,1.9216429999796674,51.81324819999281,None,,,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
0,0,0,0,,,,,,,54.37777120003011,None,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
1,0,1,0,,,,,,,55.80558159999782,None,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
2,0,2,0,,,,,,,57.302920099988114,None,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
3,0,3,0,,,,,,,58.80087939999066,None,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
4,0,4,0,,,,,,,60.298502399993595,None,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
5,0,5,0,,,,,,,61.796009099984076,61.3135749999783,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
6,0,6,0,,,,,,,63.293929799983744,62.8114299000008,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
7,0,7,0,,,,,,,64.79145620000781,64.30861840001307,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
8,0,8,0,,,,,,,66.28908379998757,65.80665980000049,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
9,0,9,0,,,,,,,67.78743010002654,67.30416400003014,Prueba Anto,001,2021_Feb_17_1840,PruebaGabor1,2020.2.10,60.1161684937561,
