9.4575 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
43.8540 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
49.6162 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B4B97A5898>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B4B9721F60>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
49.6165 	EXP 	window1: mouseVisible = True
49.6166 	EXP 	window1: recordFrameIntervals = False
49.7816 	EXP 	window1: recordFrameIntervals = True
49.9647 	EXP 	window1: recordFrameIntervals = False
51.2293 	EXP 	Created InstruccionesGabor = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='InstruccionesGabor', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Bienvenidos\nDescripcion de la tarea', units='height', win=Window(...), wrapWidth=1)
51.2532 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([0.5, 0.5]), tex='sin', texRes=128, units='height', win=Window(...))
51.8132 	EXP 	InstruccionesGabor: autoDraw = True
53.7913 	DATA 	Keypress: space
53.8114 	EXP 	Created sequence: random, trialTypes=1, nReps=10, seed=None
53.8135 	EXP 	New trial (rep=0, index=0): None
53.8182 	EXP 	InstruccionesGabor: autoDraw = False
54.3778 	EXP 	grating: autoDraw = True
55.3069 	EXP 	New trial (rep=1, index=0): None
55.3225 	EXP 	grating: autoDraw = False
55.8056 	EXP 	grating: autoDraw = True
56.8045 	EXP 	New trial (rep=2, index=0): None
56.8205 	EXP 	grating: autoDraw = False
57.3029 	EXP 	grating: autoDraw = True
58.3023 	EXP 	New trial (rep=3, index=0): None
58.3184 	EXP 	grating: autoDraw = False
58.8009 	EXP 	grating: autoDraw = True
59.8001 	EXP 	New trial (rep=4, index=0): None
59.8160 	EXP 	grating: autoDraw = False
60.2985 	EXP 	grating: autoDraw = True
61.2995 	EXP 	New trial (rep=5, index=0): None
61.3136 	EXP 	grating: autoDraw = False
61.3136 	EXP 	grating: autoDraw = False
61.7960 	EXP 	grating: autoDraw = True
62.7973 	EXP 	New trial (rep=6, index=0): None
62.8114 	EXP 	grating: autoDraw = False
62.8114 	EXP 	grating: autoDraw = False
63.2939 	EXP 	grating: autoDraw = True
64.2951 	EXP 	New trial (rep=7, index=0): None
64.3086 	EXP 	grating: autoDraw = False
64.3086 	EXP 	grating: autoDraw = False
64.7915 	EXP 	grating: autoDraw = True
65.7928 	EXP 	New trial (rep=8, index=0): None
65.8067 	EXP 	grating: autoDraw = False
65.8067 	EXP 	grating: autoDraw = False
66.2891 	EXP 	grating: autoDraw = True
67.2901 	EXP 	New trial (rep=9, index=0): None
67.3042 	EXP 	grating: autoDraw = False
67.3042 	EXP 	grating: autoDraw = False
67.7874 	EXP 	grating: autoDraw = True
68.8021 	EXP 	grating: autoDraw = False
68.8021 	EXP 	grating: autoDraw = False
69.0166 	EXP 	window1: mouseVisible = True
