FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,11.816597699999875,None,space,0.5939855999995416,11.816597699999875,None,,,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,100,0.8,0,0,0,8,,,,,,,12.977355999999418,None,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,35,0.4,0,1,1,4,,,,,,,14.42597399999977,None,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,0,0.0,0,2,2,0,,,,,,,15.92223979999926,None,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,45,0.1,0,3,3,1,,,,,,,17.419906099999935,None,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,135,0.3,0,4,4,3,,,,,,,18.917667799999435,None,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,90,0.2,0,5,5,2,,,,,,,20.415264899999784,None,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,25,0.5,0,6,6,5,,,,,,,21.912917199999356,21.430358999999953,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,15,0.6,0,7,7,6,,,,,,,23.4106256999994,22.928019899999526,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,120,0.7,0,8,8,7,,,,,,,24.908285599999545,24.42568669999946,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,110,0.9,0,9,9,9,,,,,,,26.405977799999164,25.9234435999997,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
3,45,0.1,1,0,10,1,,,,,,,27.903872899999442,27.42110159999993,a,001,2021_Feb_19_1218,PruebaGabor1,2020.2.10,59.79720376318145,
