Position,Orientation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,26.579421100000218,None,space,1.8332891000000018,26.579421100000218,None,,,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-100, 0]",120,0,0,0,7,,,,,,,29.038298999999824,None,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[110, 0]",25,0,1,1,5,,,,,,,30.435458400000243,None,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[100, 0]",100,0,2,2,8,,,,,,,31.93319749999955,None,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[0, 0]",90,0,3,3,2,,,,,,,33.430955099999665,None,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-50, 0]",45,0,4,4,1,,,,,,,34.928425699999934,None,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[150, 0]",0,0,5,5,0,,,,,,,36.4260777999998,None,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[50, 0]",135,0,6,6,3,,,,,,,37.924008400000275,37.44114569999965,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[130, 0]",110,0,7,7,9,,,,,,,39.42145319999963,38.93903859999955,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-150, 0]",35,0,8,8,4,,,,,,,40.9193621000004,40.43656040000042,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-110, 0]",15,0,9,9,6,,,,,,,42.41695040000013,41.93443750000006,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[130, 0]",110,1,0,10,9,,,,,,,43.91458359999979,43.43204559999958,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[0, 0]",90,1,1,11,2,,,,,,,45.41237009999986,44.92982049999955,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[50, 0]",135,1,2,12,3,,,,,,,46.910030000000006,46.42740870000034,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[100, 0]",100,1,3,13,8,,,,,,,48.407726000000366,47.92519420000008,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[150, 0]",0,1,4,14,0,,,,,,,49.90538689999994,49.42284050000035,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-150, 0]",35,1,5,15,4,,,,,,,51.403074699999706,50.92046389999996,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[110, 0]",25,1,6,16,5,,,,,,,52.9005987999999,52.41824369999995,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-50, 0]",45,1,7,17,1,,,,,,,54.398489600000175,53.91575699999976,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-100, 0]",120,1,8,18,7,,,,,,,55.89599689999977,55.41362449999997,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-110, 0]",15,1,9,19,6,,,,,,,57.39386410000043,56.91106669999954,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[130, 0]",110,2,0,20,9,,,,,,,58.891495300000315,58.40900630000033,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-150, 0]",35,2,1,21,4,,,,,,,60.38922360000015,59.906642900000406,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[50, 0]",135,2,2,22,3,,,,,,,61.88740119999966,61.404347900000175,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[110, 0]",25,2,3,23,5,,,,,,,63.38453420000042,62.90197590000025,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-100, 0]",120,2,4,24,7,,,,,,,64.88228270000036,64.39962829999968,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[0, 0]",90,2,5,25,2,,,,,,,66.36361729999953,65.88080619999982,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-50, 0]",45,2,6,26,1,,,,,,,67.86084099999971,67.37849160000042,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[100, 0]",100,2,7,27,8,,,,,,,69.35877979999987,68.87604889999966,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-110, 0]",15,2,8,28,6,,,,,,,70.85634539999955,70.37381189999996,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[150, 0]",0,2,9,29,0,,,,,,,72.35409609999988,71.8714358999996,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[50, 0]",135,3,0,30,3,,,,,,,73.85171979999996,73.36919409999973,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-110, 0]",15,3,1,31,6,,,,,,,75.34953649999989,74.86683639999956,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[150, 0]",0,3,2,32,0,,,,,,,76.8470914999998,76.36457530000007,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[100, 0]",100,3,3,33,8,,,,,,,78.34525740000026,77.86218279999957,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-100, 0]",120,3,4,34,7,,,,,,,79.84251089999998,79.35998600000039,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[130, 0]",110,3,5,35,9,,,,,,,81.34044749999975,80.85758879999958,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[110, 0]",25,3,6,36,5,,,,,,,82.8377387999999,82.35534800000005,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[0, 0]",90,3,7,37,2,,,,,,,84.33538839999983,83.8529854999997,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-50, 0]",45,3,8,38,1,,,,,,,85.83313439999984,85.35145499999999,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-150, 0]",35,3,9,39,4,,,,,,,87.33075019999978,86.84849490000033,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[130, 0]",110,4,0,40,9,,,,,,,88.82865709999987,88.3460283000004,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-110, 0]",15,4,1,41,6,,,,,,,90.32615879999958,89.8437326000003,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[150, 0]",0,4,2,42,0,,,,,,,91.82406420000007,91.34128859999964,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-150, 0]",35,4,3,43,4,,,,,,,93.32165650000024,92.83913089999987,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-50, 0]",45,4,4,44,1,,,,,,,94.81935189999967,94.33673780000026,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[100, 0]",100,4,5,45,8,,,,,,,96.31700660000024,95.83453279999958,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-100, 0]",120,4,6,46,7,,,,,,,97.81459499999983,97.3321248000002,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[110, 0]",25,4,7,47,5,,,,,,,99.31240439999965,98.82990260000042,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[50, 0]",135,4,8,48,3,,,,,,,100.79346590000023,100.31138720000035,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[0, 0]",90,4,9,49,2,,,,,,,102.29097029999957,101.80875730000025,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-150, 0]",35,5,0,50,4,,,,,,,103.78888219999953,103.3060674999997,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[130, 0]",110,5,1,51,9,,,,,,,105.28647530000035,104.80417240000043,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[-50, 0]",45,5,2,52,1,,,,,,,106.78414969999994,106.30162360000031,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
"[0, 0]",90,5,3,53,2,,,,,,,108.2653978999997,107.7830372999997,anto,001,2021_Feb_18_1052,PruebaGabor1,2020.2.10,60.031612647264446,
