Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,33.34249419999992,None,space,1.7230356000000029,33.34249419999992,None,,,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
45,0.1,0,0,0,1,,,,,,,36.28486669999984,None,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
110,0.9,0,1,1,9,,,,,,,37.19794039999988,None,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
25,0.5,0,2,2,5,,,,,,,38.662000000000035,None,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
100,0.8,0,3,3,8,,,,,,,40.159820699999955,None,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
90,0.2,0,4,4,2,,,,,,,41.657482200000004,41.17477179999992,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
15,0.6,0,5,5,6,,,,,,,43.15506259999984,42.67263589999993,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
35,0.4,0,6,6,4,,,,,,,44.65279549999991,44.17021169999998,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
120,0.7,0,7,7,7,,,,,,,46.150696400000015,45.668042000000014,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
135,0.3,0,8,8,3,,,,,,,47.64807189999988,47.165543899999875,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
0,0.0,0,9,9,0,,,,,,,49.12932519999981,48.64706279999996,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
90,0.2,1,0,10,2,,,,,,,50.62687729999993,50.14432620000002,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
100,0.8,1,1,11,8,,,,,,,52.12455469999986,51.64221329999987,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
25,0.5,1,2,12,5,,,,,,,53.62263999999982,53.139772300000004,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
45,0.1,1,3,13,1,,,,,,,55.119924800000035,54.63735750000001,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
120,0.7,1,4,14,7,,,,,,,56.61772729999984,56.13489449999997,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
35,0.4,1,5,15,4,,,,,,,58.115173299999924,57.632964799999854,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
135,0.3,1,6,16,3,,,,,,,59.613186299999825,59.130402099999856,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
15,0.6,1,7,17,6,,,,,,,61.11075229999983,60.62796469999989,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
0,0.0,1,8,18,0,,,,,,,62.60838879999983,62.125733699999955,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
110,0.9,1,9,19,9,,,,,,,64.10621730000003,63.623490100000026,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
110,0.9,2,0,20,9,,,,,,,65.60362339999983,65.12128059999986,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
135,0.3,2,1,21,3,,,,,,,67.10138359999996,66.61880159999987,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
0,0.0,2,2,22,0,,,,,,,68.5990205999999,68.11653159999992,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
35,0.4,2,3,23,4,,,,,,,70.09684389999984,69.61424089999991,anto,001,2021_Feb_19_1130,PruebaGabor1,2020.2.10,60.080303333480046,
