FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,17.596353699998872,None,space,0.4981651999987662,17.596353699998872,None,,,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.97,100,0.8,0,0,0,8,,,,,,,18.674563299999136,None,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.8,110,0.9,0,1,1,9,,,,,,,20.12131749999935,None,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.94,25,0.5,0,2,2,5,,,,,,,21.618849099999352,None,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.92,135,0.3,0,3,3,3,,,,,,,23.09997889999977,22.617734199999177,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.91,90,0.2,0,4,4,2,,,,,,,24.59770589999971,24.11566060000041,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.96,120,0.7,0,5,5,7,,,,,,,26.0966157999992,25.61271990000023,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.95,15,0.6,0,6,6,6,,,,,,,27.593173999999635,27.11042180000004,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.99,0,0.0,0,7,7,0,,,,,,,29.090784099998928,28.608265900000333,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.93,35,0.4,0,8,8,4,,,,,,,30.588884200000393,30.105925300000308,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.9,45,0.1,0,9,9,1,,,,,,,32.08604170000035,31.604007300000376,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.91,90,0.2,1,0,10,2,,,,,,,33.583866599999965,33.10141339999973,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.8,110,0.9,1,1,11,9,,,,,,,35.08159049999995,34.59886600000027,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.9,45,0.1,1,2,12,1,,,,,,,36.57906449999973,36.09648269999889,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.97,100,0.8,1,3,13,8,,,,,,,38.076776199999586,37.594311099999686,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.92,135,0.3,1,4,14,3,,,,,,,39.57478330000049,39.09209849999934,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.99,0,0.0,1,5,15,0,,,,,,,41.072355599999355,40.59023890000026,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.95,15,0.6,1,6,16,6,,,,,,,42.56999999999971,42.087541700000656,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
1.96,120,0.7,1,7,17,7,,,,,,,44.067731499999354,43.58516459999919,anto,001,2021_Feb_19_1342,PruebaGabor1,2020.2.10,59.81333454511441,
