FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.617662499999824,None,return,0.5757253000001583,12.617662499999824,None,,,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,45,0.1,0,0,0,1,,,,,,,13.75909320000028,None,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,0,0.0,0,1,1,0,,,,,,,15.207148399999824,None,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,120,0.7,0,2,2,7,,,,,,,16.704721699999936,None,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,100,0.8,0,3,3,8,,,,,,,18.202403600000252,None,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,90,0.2,0,4,4,2,,,,,,,19.700098600000274,None,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,135,0.3,0,5,5,3,,,,,,,21.197839899999963,None,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,25,0.5,0,6,6,5,,,,,,,22.69542040000033,22.212830499999654,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,35,0.4,0,7,7,4,,,,,,,24.193239400000493,23.710756800000127,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,15,0.6,0,8,8,6,,,,,,,25.690959499999735,25.208194800000456,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,110,0.9,0,9,9,9,,,,,,,27.18851259999974,26.706009300000005,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,35,0.4,1,0,10,4,,,,,,,28.68624269999964,28.203579900000477,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,90,0.2,1,1,11,2,,,,,,,30.18386929999997,29.701141200000166,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,100,0.8,1,2,12,8,,,,,,,31.68158990000029,31.199019300000145,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,15,0.6,1,3,13,6,,,,,,,33.17922460000045,32.696706699999595,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
7,0,0.0,1,4,14,0,,,,,,,34.67698329999985,34.19434480000018,asas,001,2021_Feb_19_1219,PruebaGabor1,2020.2.10,60.096370539781105,
