FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,11.273452800000086,None,space,1.3430401999994501,11.273452800000086,None,,,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.9,45,0,0,0,0,1,,,,,,,13.183036800000991,None,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.97,100,0,0,1,1,8,,,,,,,14.63059980000071,None,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.92,135,0,0,2,2,3,,,,,,,16.128170399999362,None,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.95,15,0,0,3,3,6,,,,,,,17.62581440000031,None,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.96,0,0,0,4,4,7,,,,,,,19.12349549999999,None,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.99,0,0,0,5,5,0,,,,,,,20.621159599999373,None,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.8,0,0,0,6,6,9,,,,,,,22.11893079999936,21.636295000000246,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.94,25,0,0,7,7,5,,,,,,,23.61655079999946,23.133965400000307,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.93,0,0,0,8,8,4,,,,,,,25.11423570000079,24.631773499999326,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.91,90,0,0,9,9,2,,,,,,,26.612232999999833,26.129377499999464,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.8,0,0,1,0,10,9,,,,,,,28.109684000000925,27.62701990000096,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.91,90,0,1,1,11,2,,,,,,,29.607332999999926,29.12479499999972,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.94,25,0,1,2,12,5,,,,,,,31.104979199999434,30.622213399999964,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.99,0,0,1,3,13,0,,,,,,,32.602534300000116,32.11995329999991,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.95,15,0,1,4,14,6,,,,,,,34.10033909999947,33.617617199999586,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.93,0,0,1,5,15,4,,,,,,,35.59805580000102,35.11538400000063,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.96,0,0,1,6,16,7,,,,,,,37.09574220000104,36.612982900000134,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.92,135,0,1,7,17,3,,,,,,,38.5933698000008,38.111049000001,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.97,100,0,1,8,18,8,,,,,,,40.09122910000042,39.608521199999814,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.9,45,0,1,9,19,1,,,,,,,41.58886580000035,41.10617260000072,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.91,90,0,2,0,20,2,,,,,,,43.086308399999325,42.60391999999956,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.99,0,0,2,1,21,0,,,,,,,44.58420760000081,44.101739100000486,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.8,0,0,2,2,22,9,,,,,,,46.08212149999963,45.59935270000096,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.95,15,0,2,3,23,6,,,,,,,47.57957569999962,47.096887499999866,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
1.97,100,0,2,4,24,8,,,,,,,49.07725140000002,48.59456680000039,dffds,001,2021_Feb_19_1351,PruebaGabor1,2020.2.10,60.04696873920742,
