FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.827559199999996,None,space,0.5775920000005499,12.827559199999996,None,,,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
0.75,45,0.1,0,0,0,1,,,,,,,13.987856000000647,None,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
1.3,135,0.3,0,1,1,3,,,,,,,15.419162500000311,None,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
1.2,25,0.5,0,2,2,5,,,,,,,16.916882299999997,None,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
0.6,35,0.4,0,3,3,4,,,,,,,18.41468520000035,None,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
0.7,100,0.8,0,4,4,8,,,,,,,19.912128400000256,None,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
1.9,0,0.0,0,5,5,0,,,,,,,21.410033099999964,None,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
1.5,90,0.2,0,6,6,2,,,,,,,22.907593500000075,22.42504370000006,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
1.7,120,0.7,0,7,7,7,,,,,,,24.405272800000603,23.922747300000083,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
0.9,110,0.9,0,8,8,9,,,,,,,25.903005800000756,25.420401400000628,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
0.55,15,0.6,0,9,9,6,,,,,,,27.400680500000817,26.91797900000074,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
1.9,0,0.0,1,0,10,0,,,,,,,28.89817200000016,28.415846700000657,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
0.9,110,0.9,1,1,11,9,,,,,,,30.395878400000583,29.913516999999956,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
1.7,120,0.7,1,2,12,7,,,,,,,31.893739900000583,31.4111539000005,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
0.6,35,0.4,1,3,13,4,,,,,,,33.391227699999945,32.90881669999999,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
1.5,90,0.2,1,4,14,2,,,,,,,34.889051300000574,34.40633980000075,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
0.7,100,0.8,1,5,15,8,,,,,,,36.38681280000037,35.904265699999996,erg,001,2021_Feb_19_1225,PruebaGabor1,2020.2.10,59.771291131642265,
