trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.829197999963071,None,space,2.557254899991676,11.829197999963071,None,,,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
0,0,0,0,,,,,,,14.903737099957652,None,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
1,0,1,0,,,,,,,16.400489999970887,None,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
2,0,2,0,,,,,,,17.898358699982055,None,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
3,0,3,0,,,,,,,19.396026299975347,None,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
4,0,4,0,,,,,,,20.893569300009403,None,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
5,0,5,0,,,,,,,22.391269299958367,None,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
6,0,6,0,,,,,,,23.888766499992926,23.406305499956943,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
7,0,7,0,,,,,,,25.386642800003756,24.90406879998045,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
8,0,8,0,,,,,,,26.884340699994937,26.40172009996604,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
9,0,9,0,,,,,,,28.381783799966797,27.899372999963816,gian,001,2021_Feb_17_2100,PruebaGabor1,2020.2.10,60.05930255243069,
