FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,11.516803000000436,None,space,0.5308057000002009,11.516803000000436,None,,,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,45,0.1,0,0,0,1,,,,,,,12.645035900000039,None,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,35,0.4,0,1,1,4,,,,,,,14.074982799999816,None,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,120,0.7,0,2,2,7,,,,,,,15.572944100000313,None,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,0,0.0,0,3,3,0,,,,,,,17.070785900000374,None,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,25,0.5,0,4,4,5,,,,,,,18.56823650000024,None,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,15,0.6,0,5,5,6,,,,,,,20.065969600000244,None,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,90,0.2,0,6,6,2,,,,,,,21.56349070000033,21.08132740000019,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,100,0.8,0,7,7,8,,,,,,,23.061356100000012,22.578698700000132,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,110,0.9,0,8,8,9,,,,,,,24.55892159999985,24.07633910000004,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,135,0.3,0,9,9,3,,,,,,,26.056605200000376,25.574035200000253,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,135,0.3,1,0,10,3,,,,,,,27.55434680000053,27.07167699999991,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
2.3,120,0.7,1,1,11,7,,,,,,,29.03534380000019,28.55276910000066,hjg,001,2021_Feb_19_1229,PruebaGabor1,2020.2.10,60.163150431438304,
