FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.201957400000538,None,space,1.392846799999461,12.201957400000538,None,,,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.91,90,0.2,0,0,0,2,,,,,,,14.162898000000496,None,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.93,35,0.4,0,1,1,4,,,,,,,15.60917210000025,None,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.96,120,0.7,0,2,2,7,,,,,,,17.106769900000472,None,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.8,110,0.9,0,3,3,9,,,,,,,18.604463500000747,None,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.92,135,0.3,0,4,4,3,,,,,,,20.102133800000047,None,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.9,45,0.1,0,5,5,1,,,,,,,21.59985990000041,None,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.97,100,0.8,0,6,6,8,,,,,,,23.097645200000443,22.61491340000066,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.99,0,0.0,0,7,7,0,,,,,,,24.595181000000593,24.11264830000073,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.94,25,0.5,0,8,8,5,,,,,,,26.092856300000676,25.61029150000013,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.95,15,0.6,0,9,9,6,,,,,,,27.590574200000447,27.108017000000473,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.93,35,0.4,1,0,10,4,,,,,,,29.08827680000013,28.605632499999956,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.9,45,0.1,1,1,11,1,,,,,,,30.585911500000293,30.103345999999874,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.97,100,0.8,1,2,12,8,,,,,,,32.08372690000033,31.60094140000001,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.92,135,0.3,1,3,13,3,,,,,,,33.581262000000606,33.098760000000766,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.94,25,0.5,1,4,14,5,,,,,,,35.07912380000016,34.596403600000485,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.91,90,0.2,1,5,15,2,,,,,,,36.576688600000125,36.09447850000015,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.8,110,0.9,1,6,16,9,,,,,,,38.07417220000025,37.59178049999991,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.95,15,0.6,1,7,17,6,,,,,,,39.57201990000067,39.08982300000025,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.96,120,0.7,1,8,18,7,,,,,,,41.06973580000067,40.58710730000075,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
1.99,0,0.0,1,9,19,0,,,,,,,42.567425000000185,42.084797500000604,jh,001,2021_Feb_19_1239,PruebaGabor1,2020.2.10,60.082866289129754,
