trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.436913800018374,None,space,0.6179377000080422,12.436913800018374,None,,,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
0,0,0,0,,,,,,,13.563786200014874,None,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
1,0,1,0,,,,,,,15.061570000019856,14.578845000010915,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
2,0,2,0,,,,,,,16.559153000009246,16.076330900017638,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
3,0,3,0,,,,,,,18.0569242000347,17.573993700032588,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
4,0,4,0,,,,,,,19.554279499978293,19.07203759998083,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
5,0,5,0,,,,,,,21.052290500025265,20.569708700000774,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
6,0,6,0,,,,,,,22.54973800003063,22.067248500010464,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
7,0,7,0,,,,,,,24.047476699983235,23.564840500010177,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
8,0,8,0,,,,,,,25.545128000027034,25.062639000010677,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
9,0,9,0,,,,,,,27.042750100023113,26.560211200034246,prueba5,001,2021_Feb_17_2038,PruebaGabor1,2020.2.10,60.05796795858681,
