FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,13.934317299999748,None,space,1.8198740999996517,13.934317299999748,None,,,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.9,45,0.1,0,0,0,1,,,,,,,16.327825200000007,None,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.93,35,0.4,0,1,1,4,,,,,,,17.774520199999643,None,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.95,15,0.6,0,2,2,6,,,,,,,19.271865300000172,None,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.97,100,0.8,0,3,3,8,,,,,,,20.76954240000032,None,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.94,25,0.5,0,4,4,5,,,,,,,22.26726309999958,None,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.91,90,0.2,0,5,5,2,,,,,,,23.764873699999953,None,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.99,0,0.0,0,6,6,0,,,,,,,25.262583200000336,24.77993609999976,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.96,120,0.7,0,7,7,7,,,,,,,26.76016040000013,26.277778300000136,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.8,110,0.9,0,8,8,9,,,,,,,28.257949599999847,27.77545000000009,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.92,135,0.3,0,9,9,3,,,,,,,29.755703300000278,29.273004100000435,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.96,120,0.7,1,0,10,7,,,,,,,31.253263499999775,30.770774700000402,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.91,90,0.2,1,1,11,2,,,,,,,32.750968999999714,32.268622499999765,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.97,100,0.8,1,2,12,8,,,,,,,34.248500599999716,33.76626049999959,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.9,45,0.1,1,3,13,1,,,,,,,35.746423599999616,35.26373020000028,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.8,110,0.9,1,4,14,9,,,,,,,37.24390299999959,36.76143709999997,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.94,25,0.5,1,5,15,5,,,,,,,38.74169939999956,38.2591438999998,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.93,35,0.4,1,6,16,4,,,,,,,40.239264200000434,39.75688850000006,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.92,135,0.3,1,7,17,3,,,,,,,41.73717899999974,41.254522299999735,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.99,0,0.0,1,8,18,0,,,,,,,43.23477559999992,42.75215560000015,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.95,15,0.6,1,9,19,6,,,,,,,44.732302000000345,44.24982470000032,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.9,45,0.1,2,0,20,1,,,,,,,46.23012579999977,45.747470899999826,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.95,15,0.6,2,1,21,6,,,,,,,47.72788240000045,47.245214900000065,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.92,135,0.3,2,2,22,3,,,,,,,49.225488699999914,48.742890700000316,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.94,25,0.5,2,3,23,5,,,,,,,50.72318220000034,50.240588700000444,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.91,90,0.2,2,4,24,2,,,,,,,52.22100370000044,51.73812269999962,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
1.93,35,0.4,2,5,25,4,,,,,,,53.71846060000007,53.23604599999999,sa,001,2021_Feb_19_1237,PruebaGabor1,2020.2.10,60.121264590941074,
