FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,11.995173300000715,None,space,0.39770599999974365,11.995173300000715,None,,,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
1.9,15,0.6,0,0,0,6,,,,,,,12.973599200000535,None,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
1.9,35,0.4,0,1,1,4,,,,,,,14.420353600000453,None,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
1.9,110,0.9,0,2,2,9,,,,,,,15.918103699999847,None,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
1.9,100,0.8,0,3,3,8,,,,,,,17.41580090000025,None,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
1.9,45,0.1,0,4,4,1,,,,,,,18.913466200000585,None,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
1.9,0,0.0,0,5,5,0,,,,,,,20.411069200000384,None,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
1.9,25,0.5,0,6,6,5,,,,,,,21.90876130000015,21.426142600000276,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
1.9,120,0.7,0,7,7,7,,,,,,,23.406649800000196,22.923868400000174,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
1.9,135,0.3,0,8,8,3,,,,,,,24.90417410000009,24.421609200000603,sdf,001,2021_Feb_19_1226,PruebaGabor1,2020.2.10,60.04992550821319,
