FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.491029300000264,None,space,1.0928690000000643,12.491029300000264,None,,,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.55,15,0.6,0,0,0,6,,,,,,,14.1499831000001,None,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.6,120,0.7,0,1,1,7,,,,,,,15.598046400000385,None,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.3,135,0.3,0,2,2,3,,,,,,,17.095541400000002,None,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.33,25,0.5,0,3,3,5,,,,,,,18.59333820000029,None,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.7,100,0.8,0,4,4,8,,,,,,,20.091015699999843,None,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.75,45,0.1,0,5,5,1,,,,,,,21.588764199999787,None,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.6,35,0.4,0,6,6,4,,,,,,,23.086293299999852,22.603769100000136,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.8,90,0.2,0,7,7,2,,,,,,,24.583923899999718,24.10157220000019,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.5,0,0.0,0,8,8,0,,,,,,,26.08159429999978,25.599027899999783,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.9,110,0.9,0,9,9,9,,,,,,,27.57928450000054,27.096851600000264,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.8,90,0.2,1,0,10,2,,,,,,,29.077160200000435,28.594385200000033,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.9,110,0.9,1,1,11,9,,,,,,,30.57480300000043,30.09221230000003,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
0.7,100,0.8,1,2,12,8,,,,,,,32.072483300000385,31.58992490000037,wer,001,2021_Feb_19_1223,PruebaGabor1,2020.2.10,60.12202365901415,
