,Frecuencia,Orientacion,Categoria,Tecla
65,5.75266988645415,0.9818689483785239,A,Left
9,5.635038961220144,0.942857344714462,A,Left
73,5.753499026829421,0.9768430404601244,A,Left
73,6.7675311676500325,0.6064705207660903,B,Right
49,5.640369666124419,0.9462194498544967,A,Left
51,5.767937164275883,0.9919493047661921,A,Left
25,5.743420071610808,0.9778959597341188,A,Left
50,5.713316582162402,0.9663998844466002,A,Left
76,5.78340199446218,0.9903364508243864,A,Left
60,5.623579447914988,0.9436986634524565,A,Left
14,5.690979573727471,0.9607103723313225,A,Left
48,5.703022773146962,0.9699822728574294,A,Left
11,6.771249007133407,0.6020389160289613,B,Right
77,6.785913966942645,0.6096814582059864,B,Right
66,5.786130022452205,0.9889064842986248,A,Left
69,6.74037109471642,0.5952461246155838,B,Right
26,5.701470296903137,0.9650866859333351,A,Left
31,5.692374022434489,0.9650067971421182,A,Left
58,6.8221786052128195,0.6221583346643557,B,Right
68,6.861933148084856,0.6315061516934444,B,Right
10,5.725306253226783,0.9724723054571734,A,Left
3,5.649578825321225,0.9434023661435187,A,Left
53,6.874912796629507,0.6351907743082474,B,Right
52,6.745061649452143,0.5962815406912986,B,Right
63,5.679520160905117,0.9549424312760505,A,Left
40,5.719145030165008,0.9706851619360002,A,Left
78,6.796520960755767,0.6111973538049756,B,Right
58,5.666031643683308,0.9580768353886059,A,Left
11,5.714549977143184,0.9743492149895309,A,Left
26,6.797808100644055,0.6136872283451867,B,Right
67,6.730554281824593,0.5897406220489535,B,Right
59,6.834313275749229,0.6207350161957496,B,Right
15,5.671082557715283,0.9528958978819964,A,Left
20,6.754337769746105,0.5979598063442358,B,Right
17,6.751162837652965,0.5972395306539209,B,Right
30,5.643914203514717,0.94651711497528,A,Left
24,6.752263900286547,0.5921383585843206,B,Right
13,6.699978155224086,0.5864822751681535,B,Right
9,6.771241410984447,0.6038261963808289,B,Right
52,5.670943321935726,0.9537988572597472,A,Left
4,5.70943452457431,0.9649268929652273,A,Left
0,5.75165019094034,0.9817314737937881,A,Left
71,5.687873115538593,0.9607411495613162,A,Left
54,5.707491761208839,0.9690422161491804,A,Left
78,5.687325777661385,0.9592455833357413,A,Left
12,6.817607230828243,0.6140443820937724,B,Right
46,5.6787782715407795,0.9559597776311024,A,Left
22,6.72870399607202,0.5937328164619754,B,Right
72,6.77593989660461,0.6045299205303069,B,Right
39,5.738607179398278,0.9804154005028429,A,Left
6,6.696726999422125,0.5780633371855001,B,Right
29,6.7431314819620125,0.5967150610694685,B,Right
30,6.8156097068123245,0.6180855706220457,B,Right
25,6.804750841201387,0.616940227901441,B,Right
74,5.75449634433781,0.9817747201828053,A,Left
1,5.694277446476124,0.9617537601392401,A,Left
