,Frecuencia,Orientacion,Categoria,tecla
0,5.750828651501606,154.08394704756276,A,left
1,5.72929173891045,152.54791144074744,A,left
2,5.688830134758997,149.52013840053166,A,left
3,5.61469086173203,156.1172417993832,A,left
4,5.672459860275894,152.4534520214534,A,left
5,5.679414759519671,151.66650156178807,A,left
6,5.712559452333682,151.62706198857938,A,left
7,5.675643438329454,154.05995539745896,A,left
8,5.655852691563958,151.41962828377146,A,left
9,5.7553863772326785,153.50411772387142,A,left
0,6.802105723506538,99.42926696988245,B,right
1,6.795604613893363,95.67323423541272,B,right
2,6.830776506829983,95.63721598089977,B,right
3,6.790579377925024,96.25919920288938,B,right
4,6.7711153298955296,94.99670139508311,B,right
5,6.793735924263204,98.75641496975483,B,right
6,6.789872592861916,97.64632199686775,B,right
7,6.770609875777289,100.76935415129759,B,right
8,6.852787321093604,96.30912999775101,B,right
9,6.756732205687509,99.16283452159388,B,right
