,Frecuencia,Orientacion,Categoria,Tecla
66,6.741313436294091,0.596268990275623,B,Right
55,6.810147872107613,0.6152445648971735,B,Right
54,5.681237489469283,0.9585463744875815,A,Left
4,6.827451443971667,0.6192722682279858,B,Right
38,5.713653560794532,0.9712850388054086,A,Left
11,5.675075897922381,0.9575422627162885,A,Left
14,5.764789049749874,0.9843753756071452,A,Left
25,6.838577246957113,0.6255224092118629,B,Right
37,5.647396928933713,0.9492737876695192,A,Left
56,6.77378949353137,0.6023177197161311,B,Right
35,5.639759485351763,0.9427095410252376,A,Left
9,6.803962195538417,0.6150709120994005,B,Right
8,5.675617229798491,0.9575850845952755,A,Left
75,5.655134071377137,0.9494448919415153,A,Left
57,5.720069606291805,0.9712807576580675,A,Left
13,6.825267348909806,0.6189018257836432,B,Right
53,6.767511545763523,0.605562759150652,B,Right
63,6.776420728940503,0.607349466432403,B,Right
18,5.764083086099261,0.9832225303370774,A,Left
21,6.764304344918531,0.6022777981640021,B,Right
27,5.7220919584279395,0.9712756024331407,A,Left
6,5.7437790847269135,0.9801520901125229,A,Left
40,5.699316087735083,0.9640032161516477,A,Left
68,5.755184393957328,0.9765328670125057,A,Left
71,6.849484584850431,0.6285057300234785,B,Right
3,6.806724642587015,0.6144812786176557,B,Right
60,6.803988092103788,0.6133619326224455,B,Right
53,5.656251143412113,0.9503429339909509,A,Left
11,6.818925998391601,0.6175344661034846,B,Right
28,6.773303281140802,0.602454375216759,B,Right
44,5.632775481524272,0.9466633699246652,A,Left
31,6.8115158366464685,0.612042672282202,B,Right
64,5.719650213953941,0.9685549548508563,A,Left
58,6.755174708215273,0.6039986284204892,B,Right
42,6.8318613733446645,0.6243509734085008,B,Right
48,6.77381906956055,0.6037940075678726,B,Right
14,6.814161606692164,0.6176576331166869,B,Right
4,5.658378278769995,0.9506230945126819,A,Left
51,5.711980359883081,0.9634701905340899,A,Left
70,6.718188068408287,0.5861169254657086,B,Right
17,5.741024310345186,0.9750460730861814,A,Left
9,5.65768459417996,0.9514191107836215,A,Left
22,5.696322521095763,0.9631773753073956,A,Left
32,6.790688210090438,0.6085202744886011,B,Right
19,5.706519581199021,0.9699861627839336,A,Left
15,6.896927349523484,0.6427108834799056,B,Right
33,6.7606889373888475,0.6026919216034738,B,Right
29,6.849148396666802,0.6283650994872592,B,Right
56,5.674654948714383,0.956244003759577,A,Left
25,5.666101438945824,0.9509753247875395,A,Left
41,5.666870227732486,0.9542724943882401,A,Left
59,6.785352329242027,0.6045931410019384,B,Right
44,6.748745052555643,0.5977096183212773,B,Right
73,6.790666479719804,0.6069477994715984,B,Right
61,5.746514245376639,0.9802297585405615,A,Left
36,5.714543904261527,0.9700651792801803,A,Left
73,5.693429046240064,0.9596906017765404,A,Left
16,6.885907139116443,0.63970490231849,B,Right
6,6.782870366569893,0.6063158328111753,B,Right
20,6.774845896381789,0.6045309833636592,B,Right
79,5.65856802734779,0.9521550603600007,A,Left
70,5.692660770571141,0.9605994546091375,A,Left
28,5.7053255796853195,0.965186440424883,A,Left
7,6.754250110495683,0.5964902420575915,B,Right
50,6.67187554291911,0.5693405521753817,B,Right
1,5.686805632292584,0.9590965040857711,A,Left
2,5.652740521026616,0.9483758280173177,A,Left
27,6.9225437031738695,0.6521427397681584,B,Right
48,5.639271968787503,0.9486304031774981,A,Left
26,5.670896218909193,0.9533020732672253,A,Left
46,6.842055925561531,0.6282018017360375,B,Right
24,5.679096629292059,0.9538761446821156,A,Left
22,6.744788645690051,0.5918140490673448,B,Right
42,5.635832623810337,0.9478438123148214,A,Left
77,5.667333968806366,0.952688420775989,A,Left
65,6.830174010184965,0.6238672630921619,B,Right
18,6.795126197213855,0.613841611800516,B,Right
35,6.794769050631889,0.6145512203638642,B,Right
23,6.875132098657018,0.635247626000581,B,Right
57,6.773123962086778,0.6057014536356107,B,Right
43,6.771162429310433,0.6030271610036393,B,Right
49,5.69669105242188,0.9643637212477748,A,Left
72,5.6452168737934905,0.9500722135080479,A,Left
62,6.683973641589579,0.5750602223111594,B,Right
52,5.682331043108986,0.9602522316566092,A,Left
76,5.773719394494185,0.9868662643807751,A,Left
79,6.73639838217343,0.5949001623614637,B,Right
0,5.758665947922287,0.9796395655059205,A,Left
68,6.73547408567228,0.590222885212471,B,Right
2,6.743188890606916,0.5922393195464497,B,Right
49,6.793416951224393,0.6085991542275941,B,Right
7,5.712516601089679,0.9707994398595323,A,Left
74,5.669867760292574,0.9561984450934888,A,Left
64,6.715903957701057,0.5880808263004295,B,Right
50,5.632263941155753,0.9430525153089123,A,Left
17,6.802947226396043,0.6191949693888376,B,Right
69,5.662695467739566,0.9505951471919282,A,Left
31,5.727989675860582,0.9720995207932219,A,Left
72,6.743319032269948,0.5978853779606271,B,Right
23,5.718229960704259,0.9674188730176855,A,Left
