,Frecuencia,Orientacion,Categoria,Tecla
18,5.8214434514101505,0.7464202812149037,B,Right
9,5.749122768549921,0.9802977078088447,A,Left
12,5.671344311452055,0.9564367659916608,A,Left
19,5.720956021460513,0.9736302127612529,A,Left
56,5.628099912671101,0.944699322058909,A,Left
34,5.871581150342884,0.7565716940431606,B,Right
16,5.830101102332745,0.7448714197095437,B,Right
67,5.875615684039254,0.7628375852748964,B,Right
22,5.713096190886505,0.9679617235365566,A,Left
32,5.888430725201509,0.7605685893959239,B,Right
56,5.878193283073889,0.7658342780930782,B,Right
39,5.632941585302836,0.940640851222299,A,Left
11,5.926242329191566,0.7771158099170351,B,Right
9,5.830396913449597,0.7481870326177498,B,Right
57,5.72774084471986,0.9731367826577353,A,Left
42,5.8586187860648415,0.7606618539227807,B,Right
29,5.650883176338919,0.9481876501790739,A,Left
18,5.747960952022838,0.977918045536968,A,Left
45,5.825765924668303,0.7437760746502137,B,Right
12,5.828941938029065,0.7451055443303722,B,Right
79,5.58285429584388,0.928533185418357,A,Left
0,5.727194459780147,0.9740549841741308,A,Left
53,5.886319399574937,0.7661675910610041,B,Right
35,5.7946117131406085,0.7354657866227882,B,Right
10,5.657590671230741,0.9502191005062716,A,Left
21,5.849884950536534,0.754013842280287,B,Right
77,5.845444504151908,0.7532106227760902,B,Right
31,5.86874819146811,0.7585988494660739,B,Right
8,5.682310600419461,0.958755859356231,A,Left
49,5.716837609913602,0.9734810213367212,A,Left
43,5.793492837177814,0.7338319057123893,B,Right
55,5.798361599251186,0.9954445711860967,A,Left
5,5.818108542577891,0.9996717061345747,A,Left
37,5.8182689611859715,0.7450389106390366,B,Right
17,5.835019802014006,0.7530534616420878,B,Right
65,5.783554353679177,0.7353380380770924,B,Right
29,5.8828462445954175,0.7702243629884941,B,Right
33,5.563183313525436,0.9232183861690116,A,Left
76,5.814186188591826,0.7436311700181287,B,Right
75,5.688729235641196,0.9614102816692085,A,Left
33,5.829934755259936,0.7502347916746148,B,Right
76,5.640439396050815,0.9485638549712531,A,Left
61,5.658445564728202,0.9500364928823116,A,Left
46,5.903524421736072,0.7731975256020505,B,Right
17,5.7310159316786375,0.9703185041047702,A,Left
57,5.826345378356973,0.7507909510637351,B,Right
40,5.775561511196523,0.7275908185962005,B,Right
15,5.8634060671955295,0.7564449098907544,B,Right
77,5.629521785260085,0.9425562682978128,A,Left
74,5.639339381888326,0.9467090497054381,A,Left
49,5.89282151027222,0.7647412232920339,B,Right
1,5.85676706890904,0.7572935218677632,B,Right
23,5.66582428252678,0.9557241369144289,A,Left
42,5.616325500741376,0.9397031566765693,A,Left
36,5.770152926030976,0.7248106530721472,B,Right
34,5.682243429713065,0.9559322049162555,A,Left
8,5.76901597578037,0.7320659036347109,B,Right
14,5.735033719346538,0.9767974052786635,A,Left
11,5.676061075055156,0.9605294033647958,A,Left
