,Frecuencia,Orientacion,Categoria,tecla
0,6.253277797547606,124.29380362584023,A,left
1,6.082542963584794,128.20900278303117,A,left
2,5.837410106198081,123.57871267574609,A,left
3,5.616069761486565,125.02658563375077,A,left
4,6.03729922038158,130.30581416319302,A,left
5,5.67593074738314,120.92651518322045,A,left
6,5.822035384867842,129.03184040202754,A,left
7,5.810576686658542,119.4396140253861,A,left
8,5.860785355628351,126.49057652574959,A,left
9,5.901049822483449,124.5050540636006,A,left
0,6.378567661591116,126.05833340686722,B,right
1,6.594007446381771,128.05192649249162,B,right
2,6.542264235857475,120.02677190031162,B,right
3,6.450854088805098,130.38570749152447,B,right
4,6.424062368769422,124.38679504014445,B,right
5,6.72636540731159,126.12792320677023,B,right
6,6.378633505089961,125.21402442643179,B,right
7,6.572447078441927,122.2546738170843,B,right
8,6.385552624028353,122.29025830065248,B,right
9,6.4777545242220285,126.7729927813511,B,right
