FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,CorrecoIncorrec.started,CorrecoIncorrec.stopped,feedback.started,feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,14.61420910002198,None,space,54.50821579998592,14.61420910002198,None,,,,,,,,,,,,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.02,0.0,0.0,Correcta,right,0,0,0,0,,,,,,,69.57502350001596,72.587302800006,left,0,1.6384734000021126,72.52224190000561,75.53294679999817,72.52224190000561,75.53294679999817,75.6177377999993,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.01,45.0,0.0,Correcta,right,0,1,1,1,,,,,,,77.68198779999511,80.69449900000473,right,0,1.1190021999937017,80.77768180001294,83.78696600001422,80.77768180001294,83.78696600001422,83.87436090002302,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.025,90.0,0.0,Incorrecta,left,0,2,2,2,,,,,,,85.91957009999896,88.93163669999922,None,0,,89.0311389999988,92.0409631000075,89.0311389999988,92.0409631000075,92.1268534999981,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.045,135.0,0.0,Incorrecta,left,0,3,3,3,,,,,,,94.18894100000034,97.20110360000399,left,0,0.847398499987321,97.30118430001312,100.31250379999983,97.30118430001312,100.31250379999983,100.39614029999939,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.09,0.0,0.0,Correcta,right,0,4,4,4,,,,,,,102.49289540000609,105.50549830001546,right,0,1.5323899999784771,105.60484129999531,108.61567040000227,105.60484129999531,108.61567040000227,108.69938309999998,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.1,25.0,0.0,Correcta,right,0,5,5,5,,,,,,,110.79737320001004,113.80939150002087,right,0,0.7527202000201214,113.90959230001317,116.9199418000062,113.90959230001317,116.9199418000062,117.01437920000171,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.03,15.0,0.0,Correcta,right,0,6,6,6,,,,,,,119.10049380001146,122.1129933000193,right,0,1.5929376000131015,122.1957011000195,125.20575459999964,122.1957011000195,125.20575459999964,125.30697850001161,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.08,0.0,0.0,Correcta,right,0,7,7,7,,,,,,,127.38770900000236,130.39959800001816,right,0,1.5080236000067089,130.48289569999906,133.49284680001438,130.48289569999906,133.49284680001438,133.5791897000163,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.06,100.0,0.0,Incorrecta,left,0,8,8,8,,,,,,,135.69156450001174,138.70412660000147,left,0,2.1827214999939315,138.7873954999959,141.7973288000212,138.7873954999959,141.7973288000212,141.89661799999885,135.60366250001243,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.015,120.0,0.0,Incorrecta,left,0,9,9,9,,,,,,,143.99261330001173,147.0067028000194,left,0,1.2414294999907725,147.08991999999853,150.09973680000985,147.08991999999853,150.09973680000985,150.18499910001992,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.041,150.0,0.0,Incorrecta,left,0,10,10,10,,,,,,,152.2819537000032,155.2939022000064,left,0,1.4145069999794941,155.3937700999959,158.4050358000095,155.3937700999959,158.4050358000095,158.48980160002247,152.19817960000364,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.035,200.0,0.0,Incorrecta,left,0,11,11,11,,,,,,,160.58633469999768,163.5990412000101,right,0,1.3603930000099353,163.68229009999777,166.69311340001877,163.68229009999777,166.69311340001877,166.7764783000166,160.50071920000482,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.081,220.0,0.0,Incorrecta,left,0,12,12,12,,,,,,,168.8735985000094,171.88620530001936,right,0,0.9946491000009701,171.98609250001027,174.9963493999967,171.98609250001027,174.9963493999967,175.08159980000346,168.789082400006,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.04,300.0,0.0,Incorrecta,left,0,13,13,13,,,,,,,177.1773310000135,180.1898249000078,left,0,1.5624676999868825,180.27157770001213,183.28184589999728,180.27157770001213,183.28184589999728,183.38170090000494,177.09231390000787,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.012,345.0,0.0,Incorrecta,left,0,14,14,14,,,,,,,185.48066480000853,188.49370230000932,left,0,0.9288660000020172,188.57652830000734,191.58646859999862,188.57652830000734,191.58646859999862,191.68825229999493,185.39602159999777,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.085,10.0,0.0,Correcta,right,0,15,15,15,,,,,,,193.80239060000167,196.81419860001188,right,0,0.8594833000097424,196.8973850000184,199.90698180001345,196.8973850000184,199.90698180001345,199.99147140001878,193.7074527000077,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.008,85.0,0.0,Incorrecta,left,0,16,16,16,,,,,,,202.0882298000215,205.10173710001982,left,0,1.7054065999982413,205.20138939999742,208.2113062000135,205.20138939999742,208.2113062000135,208.2966698000091,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.025,175.0,0.0,Incorrecta,left,0,17,17,17,,,,,,,210.39402999999584,213.40562150001642,left,0,0.8548109999974258,213.49667049999698,216.49877560001914,213.49667049999698,216.49877560001914,216.5843060000043,None,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.055,190.0,0.0,Incorrecta,left,0,18,18,18,,,,,,,218.67677180000464,221.69122010000865,right,0,1.327368700003717,221.77442390000215,224.7857151000062,221.77442390000215,224.7857151000062,224.8704168999975,218.5935785000038,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.036,100.0,0.0,Incorrecta,left,0,19,19,19,,,,,,,226.967069300008,229.9794555999979,left,0,1.9906294000102207,230.06227150000632,233.07360570001765,230.06227150000632,233.07360570001765,233.15689929999644,226.88114850001875,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.015,25.0,0.0,Correcta,right,0,20,20,20,,,,,,,235.27051689999644,238.28417510000872,right,0,1.2697127999854274,238.36689200002002,241.3759441000002,238.36689200002002,241.3759441000002,241.46238100001938,235.17537850001827,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.089,35.0,0.0,Correcta,right,0,21,21,21,,,,,,,243.57573120002053,246.58641730001546,right,0,1.4787676999985706,246.67054640001152,249.68047290001414,246.67054640001152,249.68047290001414,249.76623229999677,243.47487370000454,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.054,10.0,0.0,Correcta,right,0,22,22,22,,,,,,,251.86333320001722,254.875637500023,right,0,1.0007548999856226,254.9594769999967,257.9666585000232,254.9594769999967,257.9666585000232,258.06735120000667,251.7768113000202,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
0.047,5.0,0.0,Correcta,right,0,23,23,23,,,,,,,260.1652219000098,263.17813450001995,right,0,1.3884997999994084,263.2774949000159,266.28814570000395,263.2774949000159,266.28814570000395,266.374673000013,260.08195069999783,1,001,2021_Feb_26_1254,PruebaGabor1,2021.1.0,60.19020104011659,
