FrecEspacial,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.67570285788662,58,A,left,0.0283785142894331,0,0,0,0,28.112351899966598,32.113904299912974,32.61445949994959,36.61464539996814,37.1153900999343,41.11588249995839,24.14161819999572,28.159375299932435,41.61588329996448,None,right,0,1.2527872000355273,45.817905799951404,None,45.73116520000622,None,47.10102169995662,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
5.97436997443584,274,A,left,0.0298718498721792,0,1,1,1,,,,,,,,,,,right,0,1.0321548000210896,48.2853538999334,None,48.18528360000346,None,49.34866359992884,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
5.68239108616436,44,A,left,0.0284119554308218,0,2,2,2,,,,,,,,,,,left,1,0.9910079999826849,50.53572299994994,None,50.43584629998077,None,51.55346149997786,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
5.87740232142946,312,A,left,0.0293870116071473,0,3,3,3,,,,,,,,,,,left,1,0.7742180000059307,52.73638159991242,None,52.636204099981114,None,53.55048350000288,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.21497055868499,276,A,left,0.03107485279342495,0,4,4,4,,,,,,,,,,,left,1,1.076617500046268,54.73779749998357,None,54.63739499996882,None,55.83728370000608,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
5.9777226950445,339,A,left,0.0298886134752225,0,5,5,5,,,,,,,,,,,right,0,1.3616846000077203,57.02168140001595,None,56.92157669994049,None,58.404631300014444,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.16942304684475,45,A,left,0.030847115234223753,0,6,6,6,,,,,,,,,,,left,1,1.305000799940899,59.58915349992458,None,59.48924789996818,None,60.93620110000484,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
5.83113663926556,66,A,left,0.029155683196327803,0,7,7,7,,,,,,,,,,,right,0,1.6112493999535218,62.123362299986184,None,62.023276099935174,None,63.77030440000817,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.06838533782589,333,A,left,0.03034192668912945,0,8,8,8,,,,,,,,,,,left,1,2.1443775999359787,64.95772910001688,None,64.85746289999224,None,67.13835209992249,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
5.88404357011018,175,A,left,0.0294202178505509,0,9,9,9,,,,,,,,,,,right,0,1.2091890999581665,68.32527119992301,None,68.22503169998527,None,69.57218899996951,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.80490635941894,343,B,right,0.0340245317970947,0,10,10,10,,,,,,,,,,,left,0,0.7825927999801934,70.75948919996154,None,70.6593942999607,None,71.57300749991555,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.70350812493045,295,B,right,0.03351754062465225,0,11,11,11,,,,,,,,,,,left,0,0.9510522000491619,72.75922579993494,None,72.65914140001405,None,73.72628820000682,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.55448032748352,151,B,right,0.0327724016374176,0,12,12,12,,,,,,,,,,,right,1,1.1267915000207722,74.91117550001945,None,74.8104474999709,None,76.06107930000871,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.68475017850682,360,B,right,0.033423750892534104,0,13,13,13,,,,,,,,,,,left,0,1.0340323999989778,77.24447839998174,None,77.1437010000227,None,78.3249534999486,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.55127629413204,96,B,right,0.0327563814706602,0,14,14,14,,,,,,,,,,,left,0,0.5260283999377862,79.512126000016,None,79.41235009999946,None,80.07557430001907,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.48877641866224,211,B,right,0.0324438820933112,0,15,15,15,,,,,,,,,,,left,0,1.5507610000204295,81.26274599996395,None,81.16269749996718,None,82.84576269995887,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.34624095869614,94,B,right,0.031731204793480704,0,16,16,16,,,,,,,,,,,right,1,1.0874553000321612,84.03028299997095,None,83.93015279993415,None,85.14614550000988,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.22544387677702,285,B,right,0.031127219383885102,0,17,17,17,,,,,,,,,,,left,0,0.7637608000077307,86.33028230001219,None,86.2308937999187,None,87.12769559992012,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
6.55648003231694,211,B,right,0.0327824001615847,0,18,18,18,,,,,,,,,,,left,0,1.7946752000134438,88.31504959997255,None,88.21504429995548,None,90.14542039996013,None,,,,,,,AntonellaM,001,2023-03-23_15h39.49.374,PruebaGabor2,2022.1.3,59.93385698019654,
