FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.02,0.0,0.0,Correcta,right,0,0,0,0,13.708612099988386,16.722881200024858,17.18924620002508,19.700595500180498,20.20170610002242,None,22.947903600055724,None,right,0,0.9626108999364078,22.960585900116712,None,23.98300560005009,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.01,45.0,0.0,Correcta,right,0,1,1,1,,,,,,,25.076530300080776,None,left,0,0.5283750998787582,25.176505400100723,None,25.729837500024587,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.025,90.0,0.0,Incorrecta,left,0,2,2,2,,,,,,,26.823178900172934,None,right,0,0.2702289998997003,26.922982500167564,None,27.22048130002804,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.045,135.0,0.0,Incorrecta,left,0,3,3,3,,,,,,,28.30477310018614,None,right,0,0.2517627999186516,28.404886400094256,None,28.689371700165793,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.09,0.0,0.0,Correcta,right,0,4,4,4,,,,,,,29.78550670016557,None,left,0,0.21946999989449978,29.885158100165427,None,30.137662100140005,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.1,25.0,0.0,Correcta,right,0,5,5,5,,,,,,,31.233971000183374,None,left,0,0.14040089980699122,31.33359990012832,None,31.506597200175747,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.03,15.0,0.0,Correcta,right,0,6,6,6,,,,,,,32.59814820019528,None,left,0,0.14486019988544285,32.698362100170925,None,32.86774650006555,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.08,0.0,0.0,Correcta,right,0,7,7,7,,,,,,,33.96281659998931,None,left,0,0.1432598999235779,34.06256560003385,None,34.23414050019346,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.06,100.0,0.0,Incorrecta,left,0,8,8,8,,,,,,,35.32730420003645,None,left,0,0.09491099999286234,35.42729340004735,None,35.546625800197944,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.015,120.0,0.0,Incorrecta,left,0,9,9,9,,,,,,,36.64211790007539,None,right,0,0.11813119985163212,36.74254780006595,None,36.893417600076646,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.041,150.0,0.0,Incorrecta,left,0,10,10,10,,,,,,,37.990543600171804,None,right,0,0.12095189979299903,38.089962700149044,None,38.24210920021869,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.035,200.0,0.0,Incorrecta,left,0,11,11,11,,,,,,,39.337146000005305,None,right,0,0.14821050013415515,39.43705780012533,None,39.608357600169256,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.081,220.0,0.0,Incorrecta,left,0,12,12,12,,,,,,,40.70227050012909,None,left,0,0.32040710002183914,40.80220550019294,None,41.154714200180024,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
0.04,300.0,0.0,Incorrecta,left,0,13,13,13,,,,,,,42.25007850001566,None,left,0,0.15589169994927943,42.35040000011213,None,42.537306300131604,None,anto 14-10,001,2021_Oct_14_2036,PruebaGabor2,2021.1.0,60.13330345807799,
