FrecEspacial,Orientation,Categoria,CorrectAns,Fase,Respuesta,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.67570285788662,117,A,left,,,0,0,0,0,,,,,30.524475099984556,34.549135299865156,35.02617930015549,39.05079560028389,39.511008200235665,43.53350479993969,26.524905600119382,30.54831360001117,44.01181720010936,None,right,0,1.7542151999659836,48.236736100167036,None,48.16335939988494,None,50.0365467001684,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
5.97436997443584,258,A,left,,,0,1,1,1,,,,,,,,,,,,,,,right,0,0.7970832004211843,51.221331200096756,None,51.1221336000599,None,52.065817900002,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
5.68239108616436,262,A,left,,,0,2,2,2,,,,,,,,,,,,,,,right,0,0.748214399907738,53.25477260025218,None,53.15529499994591,None,54.032543800305575,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
5.87740232142946,95,A,left,,,0,3,3,3,,,,,,,,,,,,,,,right,0,1.1304851002059877,55.22210399992764,None,55.12253630021587,None,56.388250399846584,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
6.21497055868499,30,A,left,,,0,4,4,4,,,,,,,,,,,,,,,None,0,,57.58982210000977,None,57.48962110001594,60.50620619999245,60.607320399954915,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
5.9777226950445,293,A,left,,,0,5,5,5,,,,,,,,,,,,,,,None,0,,61.82274689991027,None,61.7079568002373,64.73996519995853,64.8402511999011,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
6.16942304684475,98,A,left,,,0,6,6,6,,,,,,,,,,,,,,,None,0,,66.05853469995782,None,65.95244640018791,68.97515839990228,69.07506710011512,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
5.83113663926556,258,A,left,,,0,7,7,7,,,,,,,,,,,,,,,None,0,,70.27723699994385,None,70.17687109997496,73.20974919991568,73.2932523000054,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
6.06838533782589,269,A,left,,,0,8,8,8,,,,,,,,,,,,,,,None,0,,74.49542560009286,None,74.39483150001615,77.39582780003548,77.51109960023314,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
5.88404357011018,126,A,left,,,0,9,9,9,,,,,,,,,,,,,,,None,0,,78.71122930012643,None,78.61137859988958,81.63098399993032,81.74094669986516,None,,,,,,,,,,,,,,,,,,,,antoJunio1,001,2022-06-10_09h49.22.157,PruebaGabor2,2022.1.3,None,
