1.5177 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.8135 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EDD5F56A90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001EDD6178F10>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.8138 	EXP 	window1: mouseVisible = True
8.8138 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.8139 	EXP 	window1: recordFrameIntervals = False
8.9796 	EXP 	window1: recordFrameIntervals = True
9.1633 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
9.1634 	EXP 	window1: recordFrameIntervals = False
11.2794 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=96.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.03060079, 0.03060079]), size=array([200., 200.]), tex='sin', texRes=128.0, units='pix', win=Window(...))
11.2839 	EXP 	Created mask_grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='gauss', maskParams=None, name='mask_grating', opacity=1.0, ori=96.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.03060079, 0.03060079]), size=array([250., 250.]), tex='sin', texRes=128.0, units='pix', win=Window(...))
11.2963 	EXP 	grating: tex = 'sin'
11.3306 	EXP 	grating: tex = 'sin'
11.3643 	EXP 	grating: tex = 'sin'
11.3976 	EXP 	grating: tex = 'sin'
11.4310 	EXP 	grating: tex = 'sin'
