Frecuencia,Orientaciondecimales,Categoria,Orientacion,FrecuenciaEspacial,tecla,Tecla,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,keyrespTest.keys,keyrespTest.corr,keyrespTest.rt,keyrespTest.started,keyrespTest.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.75266988645415,0.981868948378523,A,98.18689483785231,0.02876334943227075,left,,0,0,0,0,,,,,15.568983799999984,17.117917000000006,17.117917000000006,19.551286599999997,19.551286599999997,20.936631299999988,20.936631299999988,22.552382999999992,22.552382999999992,None,right,0,0.5920447000000308,26.753119699999985,None,26.654250700000006,None,27.376323499999984,None,,,,,,,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.63503896122014,0.942857344714462,A,94.2857344714462,0.028175194806100697,left,,0,1,1,1,,,,,,,,,,,,,,,left,1,0.6804756000000225,28.569754700000004,None,28.4550069,None,29.273433799999992,None,,,,,,,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.75349902682942,0.976843040460124,A,97.6843040460124,0.0287674951341471,left,,0,2,2,2,,,,,,,,,,,,,,,left,1,1.209191900000036,30.47227749999999,None,30.369724700000006,None,31.706397699999997,None,,,,,,,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
6.76753116765003,0.60647052076609,B,60.647052076609,0.03383765583825015,right,,0,3,3,3,,,,,,,,,,,,,,,right,1,0.7125937000000135,32.905098399999986,None,32.80464789999999,None,33.63960359999999,None,,,,,,,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.64036966612441,0.946219449854496,A,94.6219449854496,0.02820184833062205,left,,0,4,4,4,,,,,,,,,,,,,,,left,1,0.5234445000000107,34.822438000000005,None,34.723433400000005,None,35.375639699999994,None,,,,,,,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.76793716427588,0.991949304766192,A,99.1949304766192,0.0288396858213794,left,,0,5,5,5,,,,,,,,,,,,,,,left,1,0.6953252000000134,36.5550638,None,36.45540700000001,None,37.2760414,None,,,,,,,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.7434200716108,0.977895959734118,A,97.7895959734118,0.028717100358054002,left,,0,6,6,6,,,,,,,,,,,,,,,left,1,0.5923064000000124,38.473823100000004,None,38.373594499999996,None,39.090497,None,,,,,,,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.7133165821624,0.9663998844466,A,96.63998844465999,0.028566582910812,left,,0,7,7,7,,,,,,,,,,,,,,,left,1,0.6253580000000056,40.27273769999999,None,40.1722628,None,40.92657320000001,None,,,,,,,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.78340199446218,0.990336450824386,A,99.03364508243861,0.0289170099723109,left,,0,8,8,8,,,,,,,,,,,,,,,left,1,0.5261294000000021,42.123811700000005,None,42.02305899999999,None,42.67535269999999,None,,,,,,,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.19177479999999,None,space,1.6055085000000133,44.693043700000004,None,,,,,,,,,,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.62357944791498,,A,94.3698663452456,0.0281178972395749,left,Left,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,46.44218129999999,None,left,1,1.3883600000000058,46.5416022,None,47.96212679999999,None,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.69097957372747,,A,96.07103723313219,0.028454897868637353,left,Left,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,49.05803399999999,None,left,1,0.47162850000000844,49.16148279999999,None,49.658939299999986,None,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.70302277314696,,A,96.9982272857429,0.028515113865734798,left,Left,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,50.74323269999999,None,left,1,0.3424471000000153,50.84301239999999,None,51.2094166,None,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
6.7712490071334,,B,60.2038916028961,0.033856245035667,right,Right,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,52.293428000000006,None,right,1,0.4019041000000243,52.393118799999996,None,52.826589799999994,None,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
6.78591396694264,,B,60.96814582059859,0.0339295698347132,right,Right,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,53.91021599999999,None,right,1,0.43928880000001413,54.01032029999999,None,54.4772011,None,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.7861300224522,,A,98.89064842986241,0.028930650112261,left,Left,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,55.56083429999998,None,left,1,0.7083364000000074,55.6606481,None,56.39486309999998,None,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
6.74037109471642,,B,59.5246124615583,0.0337018554735821,right,Right,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,57.477481100000006,None,right,1,0.43079260000001796,57.5785563,None,58.02819249999999,None,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
5.70147029690313,,A,96.5086685933335,0.02850735148451565,left,Left,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,59.11299299999999,None,left,1,0.6054824000000281,59.21185560000001,None,59.845384199999984,None,Antonella,001,2022-12-06_13h23.04.944,PruebaGabor2,2022.1.3,60.0565973373264,
