Frecuencia,Orientaciondecimales,Categoria,Orientacion,FrecuenciaEspacial,tecla,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,16.033017699985066,19.35046329998295,None,16.033017699985066,21.234207199973753,,,,,,,,,,,,,,,,,,,,,,,,,,,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
,,,,,,,,,,,,,,,19.35046329998295,23.084800999989966,None,19.35046329998295,23.568949299980886,,,,,,,,,,,,,,,,,,,,,,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
,,,,,,,,,,,,,,,,,,,,23.084800999989966,24.00189759998466,None,23.084800999989966,24.552311699982965,,,,,,,,,,,,,,,,,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
,,,,,,,,,,,,,,,,,,,,,,,,,24.00189759998466,24.81892429999425,None,24.00189759998466,26.3526418999827,,,,,,,,,,,,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
5.75266988645415,0.981868948378523,A,98.18689483785231,0.02876334943227075,left,0,0,0,0,,,,,,,,,,,,,,,,,,,,,24.81892429999425,None,left,1,0.7782413000240922,29.02018599997973,None,28.919962899992242,None,29.820609399990644,None,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
5.63503896122014,0.942857344714462,A,94.2857344714462,0.028175194806100697,left,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,left,1,0.4901085000310559,31.004166199971223,None,30.903758399974322,None,31.524008899985347,None,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
5.75349902682942,0.976843040460124,A,97.6843040460124,0.0287674951341471,left,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,left,1,0.5495955000224058,32.72114879998844,None,32.621166999975685,None,33.28801029999158,None,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
6.76753116765003,0.60647052076609,B,60.647052076609,0.03383765583825015,right,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,right,1,0.6070409000385553,34.471327799983555,None,34.37154739999096,None,35.10481679998338,None,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
5.64036966612441,0.946219449854496,A,94.6219449854496,0.02820184833062205,left,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,right,0,0.6055268000345677,36.28892909997376,None,36.189079999981914,None,36.922659099975135,None,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
5.76793716427588,0.991949304766192,A,99.1949304766192,0.0288396858213794,left,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,right,0,0.3958319000375923,38.10628719997476,None,38.00659399997676,None,38.526452399994014,None,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
5.7434200716108,0.977895959734118,A,97.7895959734118,0.028717100358054002,left,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,right,0,0.850350700027775,39.724041199981,None,39.62331989998347,None,40.60653279998223,None,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
5.7133165821624,0.9663998844466,A,96.63998844465999,0.028566582910812,Left,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,left,0,0.47980690002441406,41.790227999998024,None,41.690247499995166,None,42.29056239998317,None,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
5.78340199446218,0.990336450824386,A,99.03364508243861,0.0289170099723109,left,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,left,1,0.5013743000454269,43.474131999973906,None,43.3740214999998,None,44.007742599991616,None,AntonelleNoviembra,001,2022-11-10_16h23.24.385,PruebaGabor2,2022.1.3,60.03600959668105,
