Frecuencia,Orientaciondecimales,Categoria,Orientacion,FrecuenciaEspacial,tecla,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,11.626599300001544,12.09325539999918,None,11.626599300001544,12.326312099998177,,,,,,,,,,,,,,,,,,,,,,,,,,,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
,,,,,,,,,,,,,,,12.09325539999918,12.743270700000721,None,12.09325539999918,12.526679300000978,,,,,,,,,,,,,,,,,,,,,,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
,,,,,,,,,,,,,,,,,,,,12.743270700000721,12.943565699999453,None,12.743270700000721,13.160254700000223,,,,,,,,,,,,,,,,,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
,,,,,,,,,,,,,,,,,,,,,,,,,12.943565699999453,13.36034799999834,None,12.943565699999453,13.576950700000452,,,,,,,,,,,,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
5.75266988645415,0.981868948378523,A,98.18689483785231,0.02876334943227075,left,0,0,0,0,,,,,,,,,,,,,,,,,,,,,13.36034799999834,None,['right'],0,[0.30085439999675145],17.561561800001073,None,17.46155759999965,None,17.89488789999814,None,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
5.63503896122014,0.942857344714462,A,94.2857344714462,0.028175194806100697,left,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,['left'],0,[0.4160711000004085],19.078763900000922,None,18.97859039999821,None,19.51354590000119,None,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
5.75349902682942,0.976843040460124,A,97.6843040460124,0.0287674951341471,left,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,['left'],0,[0.262364999998681],20.71257229999901,None,20.612409500001377,None,20.996035299998766,None,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
6.76753116765003,0.60647052076609,B,60.647052076609,0.03383765583825015,right,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,['left'],0,[0.1392095999981393],22.179420299999038,None,22.079600299999584,None,22.346289199998864,None,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
5.64036966612441,0.946219449854496,A,94.6219449854496,0.02820184833062205,left,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,['left'],0,[0.12512869999773102],23.530125400000543,None,23.43009929999971,None,23.680206900000485,None,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
5.76793716427588,0.991949304766192,A,99.1949304766192,0.0288396858213794,left,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,['left'],0,[0.12841589999879943],24.863720599998487,None,24.763539200001105,None,25.013477100001182,None,asdsa,001,2022-11-15_16h03.07.402,PruebaGabor2,2022.1.3,59.869484523550895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['left'],0,[0.08919229999810341],26.19780819999869,None,26.097550800001045,None,,,,,,,,,
