,Frecuencia,Orientacion,Categoria,tecla
0,4.362925484521273,122.04895572598252,C,left
1,4.277462247058605,127.35314068363034,C,left
2,4.276782495808333,124.10217189112824,C,left
3,3.973086449049964,130.60047420133773,C,left
4,4.358915752485222,126.42891187122989,C,left
5,4.251058047059579,121.56446201466473,C,left
6,4.37409266459488,120.87175679438951,C,left
7,4.288948891737342,121.7354216850805,C,left
8,4.336557316950232,122.26672960276757,C,left
9,4.088075413458599,121.78673616566078,C,left
0,6.190017728714315,123.67138401215536,D,right
1,6.005397786725435,121.53181996706711,D,right
2,5.921169048025567,124.69145744445048,D,right
3,6.03311475641765,125.74738744878458,D,right
4,5.979009373829805,126.7426044321004,D,right
5,6.217534767844538,124.97761272728793,D,right
6,5.859948364359286,123.241236805466,D,right
7,6.012997953990873,126.88347208672373,D,right
8,6.038934324619708,124.82401250775412,D,right
9,6.398922976270967,121.45846838595256,D,right
