,Frecuencia,Orientacion,Categoria,tecla
0,5.721160848803204,125.80287459089095,A,left
1,5.992469848326175,128.20784982381457,A,left
2,6.239499902677974,128.97717913250017,A,left
3,5.9560558373735715,124.65090693016064,A,left
4,5.872790280165501,122.56932687833796,A,left
5,5.7290756857540615,129.0003222871737,A,left
6,6.122174603516268,126.09788546680846,A,left
7,5.8665988200787,125.85373067829138,A,left
8,6.015040390440828,122.14126132944531,A,left
9,5.971168257353485,117.72100945583307,A,left
10,5.966889804745689,123.79774859486307,A,left
11,5.738758417437825,122.80930434118949,A,left
12,5.9259008428464846,129.04465025926814,A,left
13,6.192981250397682,126.10761504368092,A,left
14,5.98250552316154,127.92025992781005,A,left
15,5.910377572723989,127.9150939016745,A,left
16,6.191473110496529,124.003168840549,A,left
17,5.829655555158231,121.36289624526438,A,left
18,5.701374426932506,128.13734440707688,A,left
19,6.169278512080273,124.63477253180973,A,left
20,6.007405110293686,128.50801470359468,A,left
21,6.045733572359654,120.78936439540283,A,left
22,6.05371773833515,123.63205510941718,A,left
23,5.927699517286158,125.272196114664,A,left
24,5.565055512331526,123.66466330417126,A,left
25,5.771726376794558,127.67735413810156,A,left
26,5.822160873538786,125.36108174198043,A,left
27,6.100246247353042,130.9473772817032,A,left
28,5.81687525787871,120.96511865901107,A,left
29,5.8368319370317066,125.54964551444316,A,left
30,5.911111461248389,123.73270957087487,A,left
31,6.011839586549254,127.35408664119241,A,left
32,5.918290715510838,119.51165262761373,A,left
33,6.0998787770618375,125.3733715971839,A,left
34,6.026570693150702,120.1676927999512,A,left
35,5.5207512624311565,123.72341354159036,A,left
36,5.951008825036046,127.43225706360214,A,left
37,6.069229450233061,129.21399420621887,A,left
38,5.991848134820063,123.00963086321012,A,left
39,5.950211714268307,130.04086819731677,A,left
40,6.247605940842922,121.62435156989166,A,left
41,6.0089652144066665,126.41505425741639,A,left
42,5.98067235727169,125.2574109123941,A,left
43,6.285356794481346,123.40859894050386,A,left
44,6.151261937165132,118.03249469030159,A,left
45,6.051707337693191,121.45906810604136,A,left
46,5.905849999052404,123.51865193532373,A,left
47,5.594853357859631,123.99660206805939,A,left
48,6.369570129835813,122.32232665801492,A,left
49,5.653986585945871,128.57804699042836,A,left
50,5.858666951823724,124.87978803257762,A,left
51,6.1424441940663606,126.5900922508634,A,left
52,5.948374354084012,127.41972655839882,A,left
53,6.136130560555314,125.22386376479704,A,left
54,5.778677285826625,121.52239288040147,A,left
55,5.960059069038098,123.19547363824715,A,left
56,5.88282398010823,126.79537926886762,A,left
57,5.822346298321014,123.7265461359917,A,left
58,5.88732144143899,122.60650103967957,A,left
59,6.066756953549251,129.69722143335474,A,left
60,5.785108461827279,123.1284226579988,A,left
61,5.722264330391489,127.8924439155026,A,left
62,6.199425903439664,125.1635437437679,A,left
63,6.020379548301929,134.42283616441475,A,left
64,6.041492949073415,122.41051520787315,A,left
65,5.560456813510627,127.24282928080498,A,left
66,6.122996891877116,122.90283305722409,A,left
67,6.029611011720156,125.0225400450302,A,left
68,6.077113655265118,124.51197707216652,A,left
69,5.840272804235508,120.78854876531115,A,left
70,5.935205035675536,124.48496414547581,A,left
71,5.5730489486438435,121.60757698299798,A,left
72,6.190388361586848,124.77011622267263,A,left
73,6.030961076051599,124.75707366666427,A,left
74,6.058156438225422,129.7704474582283,A,left
75,5.745756004563673,124.65502557465454,A,left
76,6.0557547126671105,124.22667950476966,A,left
77,5.907412842134299,123.75030280658325,A,left
78,5.529641349287233,126.83271393204815,A,left
79,5.554371609465322,123.33890553295448,A,left
0,6.912171595054997,126.19804692352817,B,right
1,6.838911594380457,125.53237056910824,B,right
2,6.829540887634193,122.04661467886535,B,right
3,6.603670589601611,122.97256136409557,B,right
4,6.90234581194862,119.51530530996321,B,right
5,6.64834452440136,125.76703579931218,B,right
6,7.373864815742541,126.30632517655509,B,right
7,7.107142026262233,125.13042305865397,B,right
8,7.034353824526497,121.21499238890267,B,right
9,7.020886803006042,126.27240311488097,B,right
10,6.732650517731326,128.5223817025103,B,right
11,6.796143822133737,128.19530993253397,B,right
12,6.9323412590196165,125.92486816510993,B,right
13,6.696233598799289,121.3387995577267,B,right
14,6.974822824250216,121.99493783157894,B,right
15,6.912687262899969,125.95465663774318,B,right
16,6.699409448746166,124.1029709808772,B,right
17,6.926376891990218,121.26498733898983,B,right
18,7.02484224758622,125.92825761556139,B,right
19,6.831186889713738,123.38574424357554,B,right
20,6.994455508408642,124.67916614176184,B,right
21,6.889531470796559,126.05109953897848,B,right
22,7.000198644458865,120.13825962872033,B,right
23,6.916912957000394,122.2676458265497,B,right
24,6.5854573193905654,125.28895244883805,B,right
25,7.026405237441236,124.32283781094256,B,right
26,6.739434889683022,125.80752504600925,B,right
27,6.672237149146307,125.79480160724658,B,right
28,6.925317159169323,128.30922410545932,B,right
29,7.105395541109558,131.13665834650394,B,right
30,6.951201977811109,124.49852499613797,B,right
31,6.734154856008112,122.84630301857655,B,right
32,6.719023653012208,123.23705841249898,B,right
33,6.9909321404686136,123.99792021320972,B,right
34,7.024973594820556,122.62862438050868,B,right
35,6.92771122384602,127.42007518590606,B,right
36,6.866527362007112,126.31975329736795,B,right
37,6.788553018864825,123.60442667320874,B,right
38,6.470930290571886,130.2770495325132,B,right
39,6.399643587119149,123.88893161196698,B,right
40,6.707668240449999,122.8367421809975,B,right
41,6.930543877173661,123.03446717189084,B,right
42,7.069461538704055,130.1579085435677,B,right
43,6.764716581944054,123.48500324688302,B,right
44,6.65990352905443,125.20811332102218,B,right
45,6.9087427989066965,123.89532885242365,B,right
46,6.708308101321502,124.82247223568118,B,right
47,6.649658017124264,122.85970140985555,B,right
48,6.6997428565018815,126.73898251815018,B,right
49,6.543415075346964,125.33096787972482,B,right
50,7.176348089530417,121.47161620868788,B,right
51,6.63609952817844,124.0294642208152,B,right
52,6.508326348786668,127.66667615305612,B,right
53,6.827777089643105,125.72525587727141,B,right
54,6.774749788203079,124.50930557279396,B,right
55,7.16131497639003,123.37514909460451,B,right
56,6.722966850420128,125.87413674006554,B,right
57,6.867505171223575,124.96835224457517,B,right
58,6.827390304829371,127.74515650560392,B,right
59,7.04084704905305,127.32296971536204,B,right
60,6.656468716736505,124.80583703586662,B,right
61,6.620005975003412,124.68612901992111,B,right
62,6.862900605724454,125.14077320659307,B,right
63,7.2260568320805065,116.58382442586012,B,right
64,6.812361224582027,125.63766070009166,B,right
65,6.924944425493488,124.7635060741227,B,right
66,6.920359745978306,126.59495045411332,B,right
67,6.903638352770631,121.01082780908587,B,right
68,7.191652223750492,125.7849495999131,B,right
69,6.834000198906409,125.3927750475552,B,right
70,6.979771093115339,126.96012801407241,B,right
71,6.698198938240702,117.36414642305641,B,right
72,6.96574335273539,123.61778467942001,B,right
73,6.741692492922747,123.95677140920506,B,right
74,6.809717993451703,123.8037515816274,B,right
75,6.714005560208072,130.7132617508597,B,right
76,7.123600307096042,124.82583073373087,B,right
77,6.790200357950531,125.96671323724557,B,right
78,7.059175281372579,128.5227781373524,B,right
79,6.869424050130117,128.94959767110234,B,right
