,Frecuencia,Orientacion,Categoria,tecla
0,5.807105503133402,126.09552760980472,A,left
1,5.644369615015619,120.10294799384462,A,left
2,6.018421081551211,124.97049976180415,A,left
3,5.599912957317314,123.6593770257031,A,left
4,5.860006755041613,125.09781049369752,A,left
5,6.099510452037288,126.46128236620166,A,left
6,5.929409167331685,130.2808068783679,A,left
7,5.895808096191961,125.78495445871127,A,left
8,5.735538568498543,123.2384163189689,A,left
9,5.816339634610821,122.69560495456821,A,left
0,6.973510282438911,124.81188784618195,B,right
1,6.701544056944187,124.75228146968229,B,right
2,6.702521141104232,125.63193994449526,B,right
3,7.047332415479371,123.230512019733,B,right
4,6.79460937138033,126.7411183800597,B,right
5,6.906581524095514,128.14730740528597,B,right
6,6.930718695670862,124.68845001712555,B,right
7,6.931582904536717,120.01790057948713,B,right
8,6.973227540383475,130.489070576024,B,right
9,7.043369742536576,127.64808579546886,B,right
